AttribuutID	Attribuut	BovenliggendAttribuut	TypeAttribuut	Datatype
2	333	410	14481	14578
819	335	null	14482	14583
820	336	null	14483	14587
821	337	null	14482	14583
822	338	null	14482	14583
823	339	null	14486	14580
824	340	null	14481	14578
826	342	null	14483	14578
827	343	null	14482	14583
828	344	null	14481	14578
829	345	null	14482	14583
830	346	null	14481	14578
831	347	null	14482	14583
832	348	null	14482	14583
833	349	null	14482	14583
834	350	null	14484	14578
836	352	null	14483	14587
837	353	null	14483	14583
838	354	null	14484	14578
839	355	null	14481	14578
840	356	null	14481	14578
842	358	null	14481	14578
843	359	358	14484	14578
844	360	null	14481	14578
845	361	360	14481	14578
846	362	null	14481	14578
847	363	null	14481	14578
849	365	null	14481	14578
850	366	null	14481	14578
851	367	null	14483	14578
852	368	367	14483	14578
853	369	null	14481	14578
854	370	null	14481	14578
855	371	null	14483	14587
856	372	null	14481	14578
857	373	null	14481	14578
859	375	null	14481	14578
860	376	375	14481	14578
863	379	null	14484	14578
864	380	null	14483	14578
866	382	null	14483	14587
867	383	null	14483	14587
868	384	null	14485	14587
869	385	null	14482	14585
870	386	null	14483	14581
871	387	null	14483	14582
874	390	null	14483	14587
875	391	null	14483	14587
876	392	null	14481	14578
877	393	null	14482	14583
878	394	null	14486	14580
879	395	null	14481	14578
880	396	null	14483	14578
881	397	null	14483	14587
882	398	null	14486	14580
883	399	null	14482	14583
884	400	null	14482	14586
886	402	null	14486	14580
887	403	null	14481	14578
888	404	null	14481	14578
889	405	null	14481	14578
890	406	null	14481	14578
891	407	null	14481	14578
892	408	null	14484	14578
893	409	363	14484	14578
894	410	null	14481	14578
895	411	null	14481	14578
896	412	null	14481	14578
897	413	null	14483	14581
898	414	null	14483	14587
899	415	null	14483	14587
900	416	null	14481	14578
901	417	null	14481	14578
902	418	null	14481	14578
903	419	null	14482	14583
904	420	null	14482	14581
905	421	null	14482	14581
906	422	null	14482	14585
907	423	null	14484	14578
908	424	null	14484	14578
909	425	null	14482	14587
910	426	null	14482	14587
911	427	null	14481	14578
912	428	null	14482	14587
913	429	null	14481	14578
914	430	null	14484	14578
915	431	null	14482	14583
916	432	null	14482	14583
917	433	null	14482	14586
918	434	null	14484	14578
919	435	null	14484	14578
920	436	null	14482	14585
921	437	null	14482	14587
922	438	null	14484	14578
924	440	null	14482	14586
925	441	null	14481	14578
926	442	null	14482	14583
927	443	null	14482	14583
928	444	null	14483	14584
929	445	null	14482	14586
930	446	null	14482	14587
931	447	null	14482	14585
932	448	null	14481	14578
933	449	null	14484	14578
934	450	null	14481	14578
935	451	null	14482	14583
936	452	null	14482	14587
937	453	null	14482	14583
938	454	null	14486	14580
939	455	null	14482	14583
940	456	null	14482	14583
941	457	null	14482	14583
943	459	null	14482	14583
944	460	null	14484	14578
945	461	null	14484	14578
946	462	null	14482	14581
947	463	null	14482	14583
948	464	null	14481	14578
950	466	null	14482	14583
951	467	null	14482	14583
952	468	null	14482	14583
953	469	null	14482	14583
954	470	null	14482	14583
957	473	null	14482	14587
958	474	null	14482	14583
959	475	null	14482	14587
960	476	null	14482	14583
961	477	null	14482	14583
962	478	null	14482	14583
963	479	null	14482	14583
964	480	null	14482	14583
965	481	null	14481	14578
966	482	null	14485	14587
967	483	null	14481	14578
968	484	null	14482	14587
969	485	null	14482	14583
970	486	null	14482	14583
971	487	null	14482	14583
972	488	null	14482	14583
973	489	null	14482	14583
974	490	null	14482	14583
975	491	null	14481	14578
976	492	null	14481	14578
977	493	null	14482	14583
978	494	null	14486	14580
981	497	null	14482	14586
982	498	null	14482	14586
983	499	null	14482	14583
984	500	null	14482	14583
985	501	null	14482	14583
986	502	null	14484	14578
987	503	null	14482	14583
988	504	null	14482	14583
990	506	null	14482	14583
991	507	null	14481	14578
992	508	null	14481	14578
993	509	null	14481	14578
994	510	null	14486	14580
997	513	null	14481	14578
1000	516	null	14482	14583
