KlasseAttribuutID	IMBORGUID	Klasse	Multipliciteit	Attribuut	Informatiemodel	Eenheid	Enumeratietype	OAGBD
2132	f75cd89c-f0db-409f-b647-f500a88316f0	14443	15167	1076	2	null	null	G
2136	522efe58-2fea-45a3-9b66-07392a4061df	1082	15167	540	4	null	null	B
2139	78512c10-5061-4e00-8c8f-42abdac68e7e	73	15167	562	3	null	null	O
2140	f5aeaf46-e0fb-4729-a0ec-a87e1a119455	236	15167	575	4	null	15581	A
2144	daf7be45-cec9-43fd-834e-1325b61acfca	1095	15167	844	4	null	15582	O
2146	a6e5ccb5-5888-4611-857d-91966dc9995a	1093	15167	340	4	null	15583	B
2147	4026ff04-32e5-4423-9af3-9eaf67c1f38e	300	15167	429	4	null	15584	O
2148	2d082487-7966-4c6a-8654-a8856e69b6c4	300	15167	430	4	null	15585	O
2157	799e3f45-eafb-4837-955f-00282b4ed22d	8922	15167	1071	4	null	15586	B
2158	96ebbcba-c41f-42a4-82ca-902bda4baddf	8922	15167	1070	4	null	15587	B
2159	7e8e119c-da31-4b22-9630-c8c99c222674	8922	15167	1069	4	null	15588	O
2162	e9c18c07-7977-4e44-bd81-638713b20568	108	15167	1068	4	null	15589	O
2177	36669a08-3ed9-4071-af14-2b11b8037a4d	273	15167	787	4	null	null	O
2179	a189276c-9972-4e8c-a61b-af09abd3e23b	101	15167	787	4	null	null	O
2193	d7804d1a-5a78-4dca-9f63-9ec29ea82fbf	1082	15167	955	4	null	null	G
2194	0a6c444f-03df-471d-8911-32fb41191308	1095	15167	955	4	null	null	G
2198	240f3054-e347-404c-85f7-928ec8411c0a	236	15167	475	4	null	null	O
2200	ac8d7841-a699-4e12-91bf-065a26dc0359	236	15167	548	4	null	15592	O
2211	98c3d3c7-d630-44aa-a19f-3189b7fb8823	230	15167	888	4	null	null	O
2212	bd74a9c2-0f10-4e7e-9b0a-8cbe96ea3984	230	15167	955	4	null	null	G
2221	666f077e-7e30-4f90-8834-30e586fe8141	1090	15167	955	4	null	null	G
2222	e54b976f-5bb6-41b2-aa53-1b2b16947ddc	1089	15167	955	4	null	null	G
2223	c28883d8-eec0-49d6-9c18-3ae0180aeba1	1083	15167	955	4	null	null	G
2224	0995dcad-1eb7-4548-a491-7bedae6042d1	1092	15167	955	4	null	null	G
2227	564682fb-208c-4d88-ad63-104c32560126	10421	15167	878	3	null	15593	O
2233	940350ff-36c7-4a35-9456-043eb95013c2	179	15167	375	4	null	15594	O
2242	a8698783-2bc2-4b09-bbce-906cec226bcb	1081	15167	1058	4	null	15595	B
2244	37b83aa2-1727-4471-aa86-c833fd58a948	314	15167	347	4	14488	null	O
2246	6a493669-0cd9-420e-95f8-8ffceab86383	231	15167	548	4	null	15596	O
2251	6afa6202-6abd-41ce-875d-831e42841a91	77	15167	376	4	null	15597	O
2252	8a9a3bb3-9847-45d1-b95c-aa2bd2511644	77	15167	375	4	null	15598	O
2253	e847ef1d-1ff2-4a4d-a1dd-8f884f0be2dc	141	15167	376	4	null	15599	O
2255	42e6ba15-2bf9-4fc9-a93a-19c0f79aea7d	236	15167	449	4	null	15600	O
2257	6f223c89-1438-411f-b859-ff528e3f2dd7	7757	15167	347	4	14488	null	O
2262	55f0f1c7-6897-49d3-9293-2b095b459f96	10	15168	897	4	null	15601	O
2273	6065d8e9-5404-4a2f-8c36-6e5003e0769d	1087	15167	563	4	null	null	O
2291	555b36a3-557c-419f-b866-04d9213412d9	183	15167	1010	4	14488	null	O
2292	3fab8d17-2d01-42f8-a4e4-7414bc1c424e	183	15167	1053	4	14488	null	O
2293	8718106e-553c-40e9-a0f9-ee9590119a01	183	15167	431	4	14488	null	O
2294	93d29b64-a973-46eb-8b71-c84d6e180780	169	15167	572	4	14488	null	O
2295	ce5d125f-1fd5-460f-b87d-5afb8dfc02ba	169	15167	573	4	14488	null	O
2296	e30d6eeb-0cb1-48a1-a8bb-d9b92f49356f	263	15167	572	4	14488	null	O
2297	f60bc602-b67d-4378-b240-a65230331a65	263	15167	573	4	14488	null	O
2300	59c480fe-51bd-44d1-984f-04a3f825bcab	313	15167	1052	4	null	15603	B
2302	1072a7dc-9801-4c34-9dc0-4749ea98c962	274	15168	737	4	null	15604	O
2303	25a6a2d5-a21a-4c4d-826f-a4d561878859	1082	15167	1051	4	14517	null	O
2304	7f9a67e8-433b-4e81-a01b-78b0a424823d	274	15167	1050	4	null	null	B
2315	6109c1a8-3ff2-489a-8c11-112704fc3eaf	231	15167	1047	4	14497	null	O
2316	ecc2675d-1355-45c2-9665-0d28bfdfaad4	166	15167	375	4	null	15605	O
2317	c9ebce5d-458e-4146-bc57-8d6ea266cff1	74	15167	1045	4	null	null	O
2320	d5a2a2ce-7055-4256-aa55-244fbfc84ebf	14	15167	431	4	14488	null	O
2321	02ce4c85-83fe-4b3f-bcfd-eba9b2d8f6d0	140	15167	1044	4	14497	null	O
2322	abdaca23-7da7-4ce3-9be4-64f2d63c541c	140	15167	375	4	null	15607	O
2326	4dc4252a-fd82-438c-a9e9-8b9b585a6ded	93	15167	343	4	14488	null	O
2331	9e3f11fb-da6c-422a-88cf-d4b523fe91d9	108	15167	1043	4	14488	null	A
2332	57b20bed-96bd-4789-8fa2-b616281bcc61	79	15167	1043	4	14488	null	A
2333	1799e023-b801-479e-bf17-3596f9c5c0eb	108	15167	1042	4	null	null	O
2334	6c72fc71-0395-43b0-b970-3f101aa2fbd0	18	15167	1041	4	null	15609	O
2336	c02bbe5d-9b24-4a2c-bbda-5797b9d50b23	273	15167	395	4	null	15610	O
2341	7be297e5-60c8-4d58-922e-35d052c9ff35	57	15167	375	4	null	15611	O
2342	a688c12f-5957-4131-8216-6caa5fb237a3	101	15167	1039	4	null	null	B
2343	1afc0598-d02a-4cba-82a7-1a14be7ca527	270	15167	375	4	null	15613	O
2344	dbd7489f-04bd-465d-a156-8341ff694952	270	15167	343	4	14488	null	O
2345	1daa1881-d4df-4ef9-931d-9e780fb3be94	285	15167	1038	4	null	null	O
2346	07c68343-e5d0-4b2e-a7d5-4c548c49311a	241	15167	1038	4	null	null	O
2347	d6cb7f72-b292-4095-9cdf-2f04583e59be	306	15167	526	4	null	null	O
2348	39934cc0-074b-4267-8c48-6fa33d7f8441	306	15167	1037	4	14488	null	O
2349	a725294b-cf30-4157-bbe3-5792a90302cf	39	15167	584	4	null	null	O
2351	056fe928-8a5b-46f4-8960-807a4cb0375f	39	15167	623	4	14489	null	O
2422	7158bcb2-5e29-41e9-9734-c45d75af9778	1082	15167	735	4	null	15618	O
2429	883f1638-781e-43fe-8a6e-eeb5fedb6857	103	15167	376	4	null	15619	O
2430	fa622a59-2c37-4ef2-a8c9-a57dfe06f0c3	103	15167	375	4	null	15620	O
2438	59bae07c-1073-4db2-8afc-bda930b2f3e5	37	15167	1033	4	null	15622	B
2439	97ab1365-4c02-4149-8cd3-bbecf3ce697e	37	15167	1034	4	null	15622	B
2440	78d6a00d-db48-4c9a-b330-d0c21adcc7f1	328	15167	1032	4	14497	null	O
2442	b8c06e07-c141-45eb-9e39-74464c8aa054	187	15167	375	4	null	15623	O
2443	ff0114c7-9ec2-4a2a-a947-dc4cf275eaea	91	15167	946	4	14514	null	O
2444	cdd0e5be-c8dc-4e53-9bc5-c21b9085b669	14813	15167	1031	4	null	15624	O
2446	72f07060-c2fe-41c6-a111-1a596a1c4549	1092	15167	411	4	null	15625	O
2447	6d21fbb3-b795-4269-b382-e8361ff31909	91	15167	1030	4	null	null	O
2448	e2874432-5953-475d-9793-161fff3f75b5	91	15167	1029	4	14497	null	O
2451	e5fa0d3d-3d65-435d-8f38-80e8ca606d63	1080	15167	353	4	14490	null	O
2455	b247b1e7-18ce-448c-98fd-d39eb768f9ea	7757	15167	376	4	null	15627	O
2456	237960df-a5c5-40a0-90aa-339ab88a1d87	247	15167	1014	4	null	null	O
2480	5a388262-7078-4ee6-b603-a49b7030048c	58	15168	642	4	null	15628	O
2482	cd46fe94-6c55-4498-ac61-c1d5d68af416	236	15167	1021	4	14491	null	O
2483	3a14bad7-9c51-4aeb-8735-58913cd2d003	7748	15167	461	4	null	15629	O
2489	e8cba4ac-a019-491e-90d6-1cd45e839558	124	15167	1020	4	null	15630	O
2490	79ab4fe8-a395-496c-8494-b1da3bc9f2df	28	15167	1020	4	null	15631	O
2491	308c1ade-506c-4e7f-9aaf-e766da9d9b38	56	15167	1020	4	null	15632	O
2492	66f20023-5096-4acf-a50f-15817ba89f72	269	15168	722	4	null	15633	O
2493	ea81d1ee-225e-475e-aa2c-e89289d093d7	269	15167	375	4	null	15634	O
2495	8b60a018-202f-489a-81af-387bfb8a1c3f	7747	15167	375	4	null	15635	O
2496	fb5a106e-edf8-4172-b1b5-4bbf4db366d2	297	15167	1019	4	null	null	B
2503	9caf94c3-4f4e-42d9-99a9-49a2e2704dfc	1087	15167	599	4	14489	null	O
2504	7a61b0bf-c959-4547-9a7a-a29a96790d40	73	15167	1010	4	14488	null	O
2516	854b9497-bd22-4318-87e4-7fb6a5bf59a0	73	15167	431	4	14488	null	O
2517	1c0025a3-6ba6-45d3-a3b0-5b7bf6e870bc	73	15167	1053	4	14488	null	O
2521	3e368180-b82d-41ca-9354-8d98255a2a69	73	15167	832	4	null	15637	B
2526	c1dfcd94-3071-46cf-a893-ab1ae8baa886	10420	15167	1005	3	null	null	O
2527	1c5abbe6-a4b4-4b29-a137-c5f7cd2accf5	10420	15167	1004	3	null	null	O
2530	5591c836-7abb-4b19-baca-456b3e5fcb20	200	15167	598	4	null	15640	O
2534	5e43b5a5-2b73-49cc-b081-3df18930b507	1082	15167	653	4	14494	null	O
2542	d0dd7eb1-1466-43ca-a240-b5dcb7dff5e3	1082	15167	599	4	14489	null	O
2543	3ebfb315-6c85-4c86-9efb-dd5391e2c873	1089	15167	1002	4	null	15641	O
2544	568d0d02-bece-437a-9b5b-ac66f86afe7f	1082	15167	1002	4	null	15642	O
2551	d2f703d7-4f80-4cfb-8c40-111c4e6775d1	120	15167	996	4	null	null	O
2552	72d7f76a-3514-4ab2-a4b6-1c70f92752d7	120	15167	995	4	null	15644	O
2554	5b68cabc-9552-456e-aba1-8a8f19b079ca	102	15167	994	4	null	15645	O
2556	aeb542e1-ae8a-449b-99ec-e43fd1b807bc	3	15167	375	3	null	15646	O
2558	ffea3bfc-7e76-4637-8702-df73292a4edb	216	15167	528	3	null	15647	O
2560	0cb33c1b-4893-4c5b-947b-bf1ee128061f	133	15167	467	3	14498	null	O
2570	93bf93bf-5a29-424a-b812-a229eda0331e	120	15167	985	4	null	15648	B
2572	3fff27ed-7670-4dcc-a12e-abef1c86da63	120	15167	967	4	null	15649	B
2573	7993f8af-798e-4586-81e5-6585c632767f	141	15167	984	4	14512	null	O
2579	a185a2e8-e983-4e34-ab8e-81e1fddf1999	9	15167	375	4	null	15651	O
2580	8e5a2b61-aa21-4e8b-aad3-4063237710f8	109	15167	375	4	null	15652	O
2593	dcd022db-1c66-4f2f-b512-a33eb5c825c9	271	15167	376	4	null	15653	O
2594	69ba2ca6-186b-460b-b6e2-909eb1d7a858	271	15167	375	4	null	15654	O
2598	eaefda96-4f18-429f-8fa4-6171cfd14763	257	15167	375	4	null	15655	O
2604	d07dad99-866d-412e-a1f1-a53429bfc76e	243	15167	375	4	null	15656	O
2611	8546bcf2-2425-46d8-b595-c8aeb911a8f7	192	15167	375	4	null	15657	O
2615	82ee80f9-998d-469b-b962-88d065f25f6d	178	15167	375	4	null	15658	O
2616	2d572d25-8a63-4f82-b955-46b1e6975fe5	177	15167	375	4	null	15659	O
2617	83615ca0-69d2-4b0d-bd5f-bedc08900c85	176	15167	375	4	null	15660	O
2618	6715a6e0-a0df-42e4-9566-d9e2006acf6a	175	15167	375	4	null	15661	O
2622	c817de56-b8e3-4d4a-9b27-4535efd468d1	161	15167	375	4	null	15662	O
2623	5fe703b3-6afb-435a-94dd-d94a2aa0eb93	157	15167	375	4	null	15663	O
2631	3ceefde1-75dd-4721-b00e-4ad66cc3b0cd	118	15167	375	4	null	15664	O
2634	62de9740-f141-4d11-88c4-f3968e789e0e	98	15167	375	4	null	15665	O
2637	e6038213-6645-4e91-bcfb-662ec0b6dabc	106	15167	375	4	null	15666	O
2639	92237110-953b-4da7-b2d9-1516c31480d9	69	15167	375	4	null	15667	O
2641	4acf36d6-0bbb-4456-9476-f936d4c5ebef	62	15167	375	4	null	15668	O
2648	d3110bdf-f64b-4793-bbd6-04df34244b4c	25	15167	375	4	null	15669	O
2650	9faf027b-ffa0-456c-9126-71e38b5cf86c	5	15167	653	4	14494	null	O
2666	7d4dfb11-58db-4428-8feb-65e5b0f71808	1087	15167	574	4	14501	null	O
2674	1f8d29dc-983b-4e41-b995-ccb21282297c	14992	15167	875	3	14489	null	B
2675	4a7c20ed-6087-4cc8-a6bc-2d03fd99bf55	14992	15167	874	3	14489	null	B
2676	53da9afb-295a-4877-8c69-e4353f284f7c	14992	15167	873	3	14489	null	B
2677	0d967131-5325-42e0-bb45-e8ebee102bdb	14992	15167	486	3	14489	null	O
