KlasseID	Klasse	Volgorde
1	1	11
2	2	11
3	3	11
4	4	11
5	5	11
6	6	11
7	7	11
8	8	11
9	9	11
10	10	11
11	11	11
12	12	11
13	13	11
14	14	11
15	15	11
16	16	11
17	17	11
18	18	11
19	19	11
20	20	11
21	21	11
22	22	11
23	23	11
24	24	11
25	25	11
26	26	11
27	27	11
28	28	11
29	29	11
30	30	11
31	31	11
32	32	11
33	33	11
34	34	11
35	35	11
36	36	11
37	37	11
38	38	11
39	39	11
40	40	11
41	41	11
42	42	11
43	43	11
44	44	11
45	45	11
48	48	11
49	49	11
50	50	11
51	51	11
53	53	11
54	54	11
55	55	11
56	56	11
57	57	11
58	58	11
59	59	11
60	60	11
61	61	11
62	62	11
63	63	11
64	64	11
65	65	11
66	66	11
67	67	11
68	68	11
69	69	11
70	70	11
71	71	11
73	73	11
74	74	11
75	75	11
76	76	11
77	77	11
78	78	11
79	79	11
80	80	11
81	81	11
82	82	11
83	83	11
84	84	11
85	85	11
86	86	11
87	87	11
88	88	11
89	89	11
90	90	11
91	91	11
92	92	11
93	93	11
95	95	11
96	96	11
97	97	11
98	98	11
99	99	11
100	100	11
101	101	8
102	102	11
103	103	11
104	104	11
105	105	11
106	106	11
107	107	11
108	108	11
109	109	11
110	110	11
111	111	11
112	112	11
113	113	11
114	114	11
115	115	11
116	116	11
117	117	11
118	118	11
119	119	11
120	120	9
121	121	11
122	122	11
123	123	11
124	124	11
126	126	11
129	129	11
130	130	11
131	131	11
132	132	11
133	133	11
134	134	11
135	135	11
136	136	11
137	137	11
138	138	11
139	139	11
140	140	11
141	141	11
142	142	11
143	143	11
144	144	11
145	145	11
146	146	11
149	149	11
150	150	11
151	151	11
152	152	11
153	153	11
154	154	11
155	155	11
156	156	11
157	157	11
158	158	11
159	159	11
160	160	11
161	161	11
162	162	11
163	163	11
164	164	11
165	165	11
166	166	11
167	167	11
168	168	11
169	169	11
170	170	11
171	171	11
172	172	11
173	173	11
174	174	11
175	175	11
176	176	11
177	177	11
178	178	11
179	179	11
180	180	11
181	181	11
182	182	11
183	183	11
184	184	11
185	185	11
186	186	11
187	187	11
188	188	11
189	189	11
190	190	11
191	191	11
192	192	11
193	193	11
194	194	11
195	195	11
196	196	11
197	197	11
198	198	11
199	199	11
200	200	11
201	201	11
202	202	11
203	203	11
204	204	11
205	205	11
206	206	11
207	207	11
208	208	11
209	209	11
210	210	11
211	211	11
212	212	11
214	214	11
215	215	10
216	216	11
217	217	11
218	218	11
219	219	11
220	220	11
221	221	11
222	222	11
223	223	11
224	224	11
225	225	11
226	226	11
227	227	11
228	228	11
229	229	11
230	230	11
231	231	11
232	232	11
233	233	11
234	7757	11
235	235	11
236	236	11
237	237	11
238	238	11
239	239	11
240	240	11
241	241	11
242	242	11
243	243	11
244	244	11
245	245	11
246	246	11
247	247	11
248	248	11
250	250	11
251	251	11
252	252	11
254	254	11
255	255	11
256	256	11
257	257	11
259	259	11
260	260	10
261	261	11
262	262	11
263	263	11
264	264	11
265	265	11
266	266	11
267	267	11
268	268	11
269	269	11
270	270	11
271	271	11
272	272	11
273	273	8
274	274	11
275	275	11
276	276	11
277	277	11
278	278	11
279	279	11
280	280	11
281	281	11
282	282	11
283	283	11
284	284	11
285	285	11
286	286	11
287	287	11
288	288	11
289	289	11
290	290	11
291	291	11
292	292	11
293	293	11
294	294	11
295	295	11
296	296	11
297	297	11
298	298	11
299	299	11
300	300	11
301	301	11
302	302	11
303	303	7
304	304	11
305	305	11
306	306	11
307	307	11
308	308	11
309	309	11
310	310	11
311	311	11
313	313	11
314	314	11
315	315	11
316	316	11
317	317	11
318	318	11
319	319	11
320	320	11
321	321	11
322	322	11
323	323	11
324	324	11
325	325	11
326	326	11
327	327	11
328	328	11
329	329	11
330	330	11
331	331	11
332	332	11
335	1080	8
336	1081	6
337	1082	8
338	1083	8
340	1085	7
342	1087	8
343	1088	8
344	1089	8
345	1090	8
346	1091	7
347	1092	8
348	1093	8
349	1094	8
350	1095	8
351	14444	4
352	14445	4
353	14443	2
354	7744	11
357	7747	11
358	7748	11
360	14446	10
361	14429	11
362	14430	13
363	14431	13
364	14432	13
365	14433	13
367	14435	11
368	14436	13
369	14437	13
370	14438	13
371	14439	13
373	14448	13
375	14450	9
376	14451	13
378	14453	13
385	14469	7
387	14471	13
388	14472	13
393	14477	13
394	14478	13
396	14480	13
397	14564	5
398	14565	11
401	14592	12
402	14589	13
403	14588	13
404	14591	13
405	14590	13
407	14649	11
408	14658	11
409	14657	11
412	14662	13
413	14791	14
414	14792	14
415	14793	14
416	15561	14
417	9766	11
418	9767	11
419	14800	7
420	9703	11
421	9548	11
422	9549	11
423	14624	11
424	9394	11
425	9535	11
426	9449	11
427	9390	11
428	9388	11
429	9550	11
430	11281	11
431	9389	11
432	10203	11
433	14048	11
434	14600	11
435	9386	11
436	9385	11
437	8822	11
438	9551	11
439	9384	11
440	9383	11
441	312	11
442	14803	11
443	9413	11
444	9412	11
445	9411	11
446	9410	11
447	9409	11
448	14802	11
450	9381	11
451	10405	11
452	9585	11
453	9586	11
454	9578	11
455	9793	11
456	9579	11
457	10756	11
