KlassenindelingID	KlasseParent	KlasseChild
8	598	597
10	597	351
11	351	303
12	351	577
13	351	636
14	351	385
15	597	596
16	596	577
18	596	385
19	598	594
20	579	351
21	594	352
22	595	352
23	352	346
24	352	340
25	352	419
26	352	592
27	340	590
28	590	589
29	2089	588
30	2089	587
31	2089	586
32	340	604
33	604	603
34	604	602
35	604	601
37	604	599
38	577	101
39	577	348
40	385	342
41	342	375
42	342	583
43	342	582
44	342	581
45	342	605
46	385	343
47	385	273
49	385	335
50	385	337
51	385	606
53	385	608
54	385	578
55	385	530
56	385	609
57	385	338
58	385	610
59	385	345
60	385	347
61	385	344
62	385	349
63	385	350
64	385	531
65	578	542
66	582	1
67	603	2
68	634	3
69	345	4
70	2072	5
71	634	6
72	344	7
73	531	8
74	531	466
75	608	398
76	531	467
77	344	9
78	531	468
79	335	10
80	419	11
81	344	12
82	337	13
83	375	14
84	2072	15
85	344	16
86	273	537
87	350	17
88	350	18
89	345	19
90	618	20
91	628	21
92	628	22
93	531	469
94	345	23
95	603	24
96	608	25
97	530	450
98	634	26
99	345	27
100	338	443
101	338	444
102	582	28
103	344	29
104	349	30
105	273	536
106	344	31
107	375	417
108	338	445
109	634	32
110	350	33
111	350	34
112	582	35
113	344	36
114	348	37
115	344	38
116	344	39
117	344	40
118	606	41
119	101	544
120	101	545
121	599	420
122	101	546
123	608	42
124	345	43
125	345	44
126	344	45
127	303	540
128	531	470
129	530	451
130	599	421
132	346	48
133	530	452
134	578	49
135	599	422
136	603	50
137	419	51
139	628	354
140	335	53
141	582	54
142	582	55
143	582	56
144	578	57
145	531	471
146	618	58
147	581	472
148	531	473
149	578	59
150	531	569
151	582	562
152	344	60
153	338	442
154	345	61
155	344	62
156	634	63
157	345	64
158	531	570
159	349	65
160	348	66
161	335	67
162	582	68
163	344	69
164	578	70
165	578	71
167	583	73
168	531	474
169	101	547
170	605	475
171	375	74
172	619	423
173	634	75
174	530	453
175	531	476
176	273	533
177	530	564
178	345	76
179	344	77
180	344	78
181	582	79
182	603	80
183	344	81
184	344	82
185	345	83
186	531	571
187	375	84
188	531	477
189	582	85
190	101	548
191	531	478
192	530	454
193	634	86
194	345	87
195	350	88
196	349	89
197	530	455
198	347	90
199	338	91
200	346	92
201	303	541
202	348	93
204	530	456
205	578	95
206	350	96
207	344	97
208	628	424
209	344	98
210	101	549
211	582	99
212	619	561
213	338	100
214	2072	102
215	419	103
216	101	550
217	629	104
218	273	534
219	603	105
220	608	106
221	618	107
222	101	551
223	347	108
224	344	109
225	582	479
226	531	480
227	628	425
228	608	110
229	419	111
230	344	112
231	349	113
232	628	563
233	101	552
234	530	457
235	608	114
236	338	446
237	531	481
238	345	115
239	337	116
240	337	117
241	344	118
242	531	482
243	582	119
244	343	120
245	531	121
246	604	122
247	337	123
248	582	124
249	344	126
252	599	426
254	344	129
255	348	130
256	337	131
257	531	484
258	603	132
259	345	133
260	634	134
261	603	135
262	344	136
263	273	535
264	578	137
265	347	138
266	344	139
267	608	407
268	603	140
269	531	485
270	531	486
271	581	487
272	531	488
273	531	489
274	344	142
275	349	143
276	2072	141
277	578	144
278	338	145
279	346	146
280	628	427
282	531	529
284	606	149
285	634	150
286	345	151
287	578	152
288	347	153
289	578	154
290	606	155
291	531	572
292	531	490
293	634	156
294	344	157
295	628	180
296	531	491
297	349	158
298	349	159
299	578	160
300	344	161
301	349	162
302	101	553
304	419	164
305	347	165
306	419	166
307	608	167
308	350	168
309	531	492
310	583	169
311	531	493
312	634	170
313	531	494
314	531	495
315	531	496
316	345	171
317	273	532
318	338	173
319	605	497
320	346	172
321	531	498
322	531	174
323	344	175
324	335	176
325	344	177
326	335	178
327	628	428
328	628	179
329	531	181
330	338	182
331	375	183
332	344	184
333	531	499
334	531	500
335	531	501
336	578	185
337	530	458
338	603	186
339	610	187
340	344	188
341	344	566
342	385	189
343	599	429
344	344	190
345	606	191
346	344	192
347	603	193
348	578	194
349	634	195
350	344	196
351	338	197
352	608	198
353	581	502
354	531	503
355	101	554
356	335	199
357	530	459
358	344	200
359	608	201
360	530	460
361	338	202
362	610	203
363	346	204
364	629	357
365	628	205
366	346	206
367	581	504
368	344	207
369	337	208
370	419	209
371	578	210
372	578	211
373	627	430
374	419	543
375	349	212
376	101	555
377	603	214
378	530	461
379	634	215
380	345	216
381	618	431
382	338	217
383	344	218
384	350	219
385	344	220
386	344	565
387	628	432
388	337	221
389	531	505
390	618	433
