refMinimaleDatasetID	refMinimaleDatasetGUID	refInformatiemodel	IMBORObjecttypeID	IMBORAttribuutID	Toelichting	Wijzigingsdatum
1	a3c4cf6f-a16d-41a6-b1c8-7ef768e5b0e9	14	14809	678	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
2	c75c0a2d-88d2-417d-87aa-10ef3862388a	14	14809	335	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
4	9618543d-2929-4df4-b94f-d467fc3e107a	14	14809	337	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
6	06da2874-4ee3-4143-ad53-17e64e36ef68	14	14809	342	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
8	8e0b18ca-f83c-45b0-a2b1-47fb2cf84c54	14	14809	385	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
10	52616106-77ff-4571-8083-291909cb611c	14	14809	347	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
11	f0263e24-2ed0-4b9c-8d9a-1bbf2c5b0a05	14	310	347	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
12	5a2bfaed-3548-42a9-a46e-4b3dd2c4aea5	14	314	347	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
14	fc1eec29-c765-47e6-8554-338c13efd2e1	14	310	425	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
15	c83f827a-101b-4e94-a475-0d0fdab68066	14	14809	353	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
16	c9d97e9b-54f4-4992-978b-7a4b64ded36c	14	14809	375	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
17	8fd06d0d-e32b-4c40-8266-33131de4c782	14	14809	362	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
18	714183a7-9629-49bf-8f2f-72ec5a825996	14	14809	365	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
19	38558d27-68ba-490b-8f7a-593a1dba2dc2	14	14809	376	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
20	c5c02147-1fb7-463a-ba98-d84feb3236a7	14	14809	676	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
21	650c843b-b3be-416e-8837-33b2307a5b4d	14	311	643	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
22	0e976c93-78d7-43c7-b5d4-39b50120ae32	14	14809	370	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
23	27689778-dd39-4b7c-9216-9eff36af1e4d	14	314	607	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
24	54592ea2-d2a9-4b8a-80a8-79baaf0849b7	14	14809	674	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
25	5424e28f-75e8-432a-939a-44559ce96da7	14	14809	675	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
26	33050ce7-15ae-427d-bca0-5fef9f90a6a6	14	310	446	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
27	0b699c71-a03d-4715-a7e4-904c6696dc7e	14	14809	417	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
28	2126611e-e5f9-4112-8cca-3baaabb349e2	14	314	371	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
29	1e781378-d0d1-4060-9f0d-5ac49fa736bb	14	314	655	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
30	b2f04927-1992-48b1-b09f-011c56c045a5	14	314	654	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
31	0aaf5727-5f7f-4789-b7eb-aa2c9453df15	14	18	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
32	eea919f1-a25a-4aa6-ae69-f0d97aa087af	14	133	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
35	b42a458e-3e74-4a58-99f8-1d890f4ca784	14	14435	448	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
36	f96f0f50-056a-4844-b285-1f130675baeb	14	14435	338	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
37	80092c01-78d3-49ad-94ea-0be3ee974879	14	14438	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
38	d4e430bd-df94-49ae-8b77-cc4b98034639	14	313	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
39	52c5faca-efa7-4665-a6e5-417a9e6f3c91	14	14478	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
40	4fefe7ef-74a7-4fa9-a97e-ceebb9972544	14	14972	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
41	f19bf55f-f996-4c95-8f9c-dd99eaf9de08	14	14810	678	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
42	f7dd9ac7-0d07-4c1f-b170-e4286957c9fa	14	14810	335	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
43	b46f9953-7256-4609-a3cb-08678cd298d3	14	14810	337	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
44	317dd123-dbdb-456d-b8dd-40538e8b9b88	14	14810	342	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
46	abe67e1b-cb3f-4852-909a-a6be16a12905	14	14810	385	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
47	181e45ab-0769-4309-b940-f06b12a6e2fd	14	14810	347	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
48	81483a34-b728-4385-a1d7-cd2668f111af	14	14810	348	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
49	592795d9-b63a-4abe-8da6-649f5817d310	14	14810	353	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
50	588718b2-64eb-4285-bd6a-3a081de0992f	14	14810	375	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
51	0c78ff3d-bb93-4e11-9d79-ea0437c5dcea	14	14810	362	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
52	ba7c4f1d-0ba5-4f83-908f-2fd58cce173e	14	14810	365	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
53	9c854964-91c1-4d38-b1bd-81396ed5ef7a	14	14810	376	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
54	418f86cc-e381-40e6-8d26-aebbe64f8213	14	14810	676	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
55	db89b5ad-3cca-4d0b-a454-3952936d1a12	14	14810	370	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
56	074d3e65-3c7b-462a-ad19-c06052cec5ea	14	14810	674	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
57	b0d332e9-dfa0-42c9-a650-dedd6dba668b	14	14810	675	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
58	9e204f2a-b0a7-45ef-881c-25a079ae3ecb	14	14810	417	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
60	df82d46e-7c32-48d0-a90e-f9ed7dd2b647	14	14813	678	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
61	00c2d745-828e-4bac-b4ed-7e8b8df4e9c3	14	14813	335	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
62	165ef87e-7d18-4d69-b07c-f03650c74ebe	14	14813	337	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
63	ef767b90-888b-4eaa-9d89-03143a1bd7b5	14	14813	342	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
65	b1c24b25-559c-42fd-a379-9730b4a2ada9	14	14813	385	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
66	1fe9a79f-4cfb-4059-9be3-99b6e6ebe5aa	14	14813	347	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
68	9eddf806-8a1d-407b-8db3-a0fd82157b3f	14	14813	353	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
69	898033f4-0680-42d7-b62f-89833df1085a	14	14813	375	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
70	0a356506-8f6d-47bf-90c8-e72e7c51ca09	14	14813	362	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
71	5872c265-2cdf-4f2d-9687-e090716beab5	14	14813	365	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
72	8c0609d8-a94b-4db9-a38e-af391c50e63e	14	14813	376	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
73	05f7b626-59ef-4742-b235-9526b051c79d	14	14813	676	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
75	db2019b5-fab2-4c11-befb-03bd10e36189	14	14813	674	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
76	5efa6a6e-762f-4579-b911-d18644a065b4	14	14813	675	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
77	4d53fdf7-d2c6-4671-af56-fb83b3a6b1f3	14	14813	417	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
78	a7018903-aaf1-4bc9-bf5b-28bb2f65b5fc	14	14812	678	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
79	6bd8acc3-9d90-4f90-b582-2173beea70fa	14	14812	335	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
80	5db2149a-656b-4d9a-aa03-1b4c720e6f96	14	14812	337	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
81	8041ab75-d25a-4748-a428-31a9c773c3d3	14	14812	342	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
83	6e429003-4e35-4241-be6e-956b10490eaf	14	14812	385	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
84	d903267c-d87b-416d-aad3-d7f1e89bc33f	14	14812	347	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
86	b8031e7e-3b27-44e0-b97b-95aa491fcb18	14	14812	353	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
87	e8c6c92d-3ab2-4d26-9097-555cce7253e4	14	14812	375	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
88	abae78bd-4157-4cc6-83d5-d097b46285d1	14	14812	362	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
89	6a515635-a718-4448-b0d7-30d0699d33c5	14	14812	365	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
90	a3a839b7-b71f-43f6-884b-f93ff35411a9	14	14812	376	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
91	eb93f6e7-bfd1-4a4a-ae61-5405164424ec	14	14812	676	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
92	20c9f09a-4835-4dd2-a612-c9d25856cc2d	14	14812	674	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
93	0561b3fd-1563-48c9-a3c5-5b648395f494	14	14812	675	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
94	e8e5fbdd-fb4e-4452-b57c-d60ed3240763	14	14812	417	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
95	c5e83a2a-429b-43ee-b4a9-5d4ebdf0355d	14	14811	678	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
96	4ece64ec-569c-4fff-8ed5-ab3b87c46e31	14	14811	335	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
97	86d35434-80ab-44c9-89b2-d76b9f60d566	14	14811	337	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
98	fe2a8a34-32fa-4f73-90bc-d2c6889083d4	14	14811	342	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
100	8b884490-db2f-4937-ba96-c08d6ec88886	14	14811	385	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
101	78331dfb-4782-413c-9ba3-519d04ee2835	14	14811	347	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
103	c80a5d51-71a6-4054-b607-45f55316913c	14	14811	353	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
104	7a911450-ec0b-4c31-ae2d-9ee8343204dc	14	14811	375	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
105	a0fb1f63-be24-4247-9e42-c1f5c3f5b50a	14	14811	362	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
106	6dd57882-101d-44aa-a134-0b2bb32c7946	14	14811	365	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
107	f25ad306-9e2d-4561-b4f9-dcf7c232bc76	14	14811	376	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
108	2a3b916b-c24f-4ff6-8afe-20b82e7399ca	14	14811	676	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
109	3b23c144-6fa6-4025-92ce-247ff7c7e4b1	14	14811	674	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
110	97c244f3-ea54-47c6-bad1-cbdc8d6e8519	14	14811	675	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
111	3787ffe7-00f0-42ee-86d6-495dbe7a746e	14	14811	417	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
112	509f6fd3-3bba-4b6e-8363-8f97c4894b59	14	14814	678	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
113	5f5b4338-f992-4b9a-b726-eade5ae1f245	14	14814	335	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
115	ba6bbcf4-8bb7-4184-9408-a3d31a3cafb4	14	14814	342	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
117	5bf63f77-7e73-4353-a375-77dc9b57c7e5	14	14814	385	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
118	5a4ecb5e-d0b8-4077-9fc2-b6dc452aa26e	14	14814	347	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
120	703f9b57-32df-4279-b797-c8627a39f377	14	14814	353	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
121	4178c600-5ab2-47ae-907f-13d46ef1549b	14	14814	375	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
123	79611cea-418e-46dc-809e-1a87f2f1b4cf	14	14814	365	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
124	cb020645-58ec-4598-9c81-de643111169d	14	14814	376	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
125	15a5ca92-0d17-41ec-b96a-c3f0ebf30df7	14	14814	676	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
126	fdbb75e8-1838-46c6-9ada-3d3910ac5186	14	14814	674	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
127	8477476f-9904-40e3-ab23-8bd6d96a29de	14	14814	675	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
128	34cd9ad7-bc2e-457f-b818-1172db1d97d9	14	14814	417	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
129	c3a1087d-e573-42de-9380-15d81ba86da1	14	14814	362	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
