refObjecttypeID	refObjecttypeGUID	refInformatiemodel	refObjecttype	URI	Definitie	Toelichting	Wijzigingsdatum
1	a451a2b4-c1ac-408b-92c1-3779a4bf9ad3	5	As	null	Lijnvormig virtueel object voor meetkundige of routeringsdoeleinden.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
2	f220de72-aba6-45be-865b-0b184aba4c77	5	Bak	null	Object met een permanent karakter dat dient om iets in te bergen of te verzamelen. 	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
3	ac648fa8-88d1-4ada-8365-8b7ebf38e7aa	5	BegroeidTerreindeel	null	Kleinste functioneel onafhankelijk stukje van een terrein dat er binnen het objecttype Terrein van NEN 3610 wordt onderscheiden, met aaneengesloten vegetatie. 	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
4	474be229-c355-48c3-b12d-8ec30bf663b6	5	Bord	null	Een paneel waarop informatie wordt afgebeeld.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
5	9361648c-b346-426d-aec7-3459069afb2e	5	FunctioneelGebied	null	Begrensd en benoemd gebied dat door een functionele eenheid beschreven wordt. 	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
6	f4bf195c-dac8-4e64-bc69-f4b44a9d84e4	5	GebouwInstallatie	null	Een component aan de buitenzijde van een gebouw, die het aanzicht van het gebouw mede bepaalt. 	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
7	67f5cc2c-1aa8-4719-b814-fa3aee63b7da	5	Installatie	null	Samenhangend systeem dat een bepaald doel dient. 	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
8	9a543bb0-cf21-46b3-996a-320b4af7e2c6	5	Kast	null	Object met een permanent karakter dat dient om iets in te bergen en te beschermen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
9	8541139f-54f2-4137-a6f5-8842318dacce	5	Kunstwerkdeel	null	Onderdeel van een civiel-technisch werk voor de infrastructuur van wegen, water, spoorbanen, waterkeringen en/of leidingen. 	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
11	23728c4d-f764-4fea-9516-d8ace88a8c8a	5	Mast	null	Hoge draagconstructie. 	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
