ABID	A	B
1	5G-antenne	Sensor
2	Aalpijp	Faunavoorziening
3	Aanleginrichting	Kunstwerk
4	Aansluitvoorziening	Apparaat
5	Aansturingsput	Put
6	Aardolieleiding	Holle leiding
7	Abri	Bouwwerk
8	Absoluut rioolstelsel	Stelsel
9	Achtergrondschild	Constructieonderdeel
10	Actieve wegmarkering	Weginrichtingsobject
11	Afdak	Gebouwcomponent
12	Afdekplaat	Constructieonderdeel
13	Afscheiding	Beheerzone
14	Afslagmat	Straatmeubilair
15	Afsluiter	Installatie
16	Afsluiteraandrijving	Constructieonderdeel
17	Afsluitpaal	Straatmeubilair
18	Afsluitstuk	Constructieonderdeel
19	Afstandsmarkering	Straatmeubilair
20	Afvalbak	Bak
21	Afvalscheidingslocatie	Beheerzone
22	Afvalsensor	Sensor
23	Afvalwatersysteem	Systeem
24	Agrarisch gebied	Geografische ruimte
25	Akoestische signaalgever	Apparaat
26	Amfibieënfuik	Faunavoorziening
27	Antenne	Apparaat
28	Antivandalismevoorziening	Straatmeubilair
29	APV-bord	Bord
30	Aquaduct	Overbrugging
31	Armatuur	Apparaat
32	Asbak	Straatmeubilair
33	Asfaltverharding	Verharding
34	Baan voor vliegverkeer	Luchtvaartruimte
35	Balkon	Gebouwcomponent
36	Ballenautomaat	Straatmeubilair
37	Ballenkist	Straatmeubilair
38	Ballenwasser	Straatmeubilair
39	Balspiraal	Straatmeubilair
40	Balustrade	Weginrichtingsobject
41	Band	Weginrichtingsobject
42	Bank	Straatmeubilair
43	Bebakeningsstrook	Wegzone
44	Bebouwingskern	Geografische ruimte
45	Bedrijfslocatie	Registratieve ruimte
46	Beek	Watergang
47	Beekriool	Overbrugging
48	Beerput	Put
49	Begraafplaats	Complex
50	Beheergebied	Beheerzone
51	Beheervak	Beheerzone
52	Bekabeling	Constructieonderdeel
53	Bekkentrap	Faunavoorziening
54	Belangenstrook	Beheerzone
55	Bellenscherm	Waterinrichtingsobject
56	Beluchter	Constructieonderdeel
57	Beluchtingsrooster	Weginrichtingsobject
58	Beluchtingsventiel	Constructieonderdeel
59	Benedenstrooms eindriool	Stedelijk waterleiding
60	Benoemde plaats	Registratieve ruimte
61	Benzine- of olieput	Put
62	Beregeningsbron	Put
63	Beregeningsinstallatie	Installatie
64	Beregeningskast	Kast
65	Beregeningsleiding	Holle leiding
66	Beregeningspomp	Installatie
67	Beregeningsput	Put
68	Bergbezinkbassin	Reservoir
69	Bergbezinkleiding	Stedelijk waterleiding
70	Bergingsbassin	Reservoir
71	Bergingsleiding	Stedelijk waterleiding
72	Bescherming	Constructieonderdeel
73	Beschoeiing	Kunstwerk
74	Besturingskast	Kast
75	Betaalautomaat	Straatmeubilair
76	Betonning	Waterinrichtingsobject
77	Betonverharding	Verharding
78	Beugel	Straatmeubilair
79	Beweegbare brug	Overbrugging
80	Bewegingssensor	Sensor
81	Bewegwijzeringsbord	Bord
82	Bezinkbassin	Reservoir
83	Bierleiding	Holle leiding
