ABCDEFID	BGTofIMGeo	BGT-object	BGT-attribuut	BGT-enumeratie	BGT-domeinwaarde	IMBOR-term	IMBOR-toelichting	Match	IMBOR-klasse
1	IMGeo	Bak	plus-type	TypeBak	Afval apart plaats	53	null	Exact	Objecttype
2	IMGeo	Bak	plus-type	TypeBak	Afvalbak	10	null	Exact	Objecttype
3	IMGeo	Bak	plus-type	TypeBak	Bloembak	199	null	Exact	Objecttype
4	IMGeo	Bak	plus-type	TypeBak	Container	null	Cocon, Container Of rolcontainer	Multiple	null
5	IMGeo	Bak	plus-type	TypeBak	Drinkbak	67	null	Exact	Objecttype
6	IMGeo	Bak	plus-type	TypeBak	Zand- / zoutbak	null	Zandkist of Zoutbak	Multiple	null
7	BGT	BegroeidTerreindeel	Bgt-Fysiekvoorkomen	FysiekVoorkomenBegroeidTerrein	Boomteelt	8924	null	Exact	Domeinwaarde
8	BGT	BegroeidTerreindeel	Bgt-Fysiekvoorkomen	FysiekVoorkomenBegroeidTerrein	Bouwland	8620	null	Exact	Objecttype
9	BGT	BegroeidTerreindeel	Bgt-Fysiekvoorkomen	FysiekVoorkomenBegroeidTerrein	Duin	8623	null	Exact	Objecttype
10	BGT	BegroeidTerreindeel	Bgt-Fysiekvoorkomen	FysiekVoorkomenBegroeidTerrein	Fruitteelt	14820	null	Exact	Domeinwaarde
11	BGT	BegroeidTerreindeel	Bgt-Fysiekvoorkomen	FysiekVoorkomenBegroeidTerrein	Gemengd bos	8627	null	Exact	Domeinwaarde
12	BGT	BegroeidTerreindeel	Bgt-Fysiekvoorkomen	FysiekVoorkomenBegroeidTerrein	Grasland agrarisch	13366	null	Exact	Domeinwaarde
13	BGT	BegroeidTerreindeel	Bgt-Fysiekvoorkomen	FysiekVoorkomenBegroeidTerrein	Grasland overig	null	Helmgras, Ruig gras, 	Multiple	null
14	BGT	BegroeidTerreindeel	Bgt-Fysiekvoorkomen	FysiekVoorkomenBegroeidTerrein	Groenvoorziening	101	null	Exact	Klasse
15	BGT	BegroeidTerreindeel	Bgt-Fysiekvoorkomen	FysiekVoorkomenBegroeidTerrein	Heide	8635	null	Exact	Objecttype
16	BGT	BegroeidTerreindeel	Bgt-Fysiekvoorkomen	FysiekVoorkomenBegroeidTerrein	Houtwal	8932	null	Exact	Objecttype
17	BGT	BegroeidTerreindeel	Bgt-Fysiekvoorkomen	FysiekVoorkomenBegroeidTerrein	Kwelder	8933	null	Exact	Domeinwaarde
18	BGT	BegroeidTerreindeel	Bgt-Fysiekvoorkomen	FysiekVoorkomenBegroeidTerrein	Loofbos	8934	null	Exact	Domeinwaarde
19	BGT	BegroeidTerreindeel	Bgt-Fysiekvoorkomen	FysiekVoorkomenBegroeidTerrein	Moeras	8935	null	Exact	Objecttype
20	BGT	BegroeidTerreindeel	Bgt-Fysiekvoorkomen	FysiekVoorkomenBegroeidTerrein	Naaldbos	8936	null	Exact	Domeinwaarde
21	BGT	BegroeidTerreindeel	Bgt-Fysiekvoorkomen	FysiekVoorkomenBegroeidTerrein	Rietland	8937	null	Exact	Objecttype
22	BGT	BegroeidTerreindeel	Bgt-Fysiekvoorkomen	FysiekVoorkomenBegroeidTerrein	Struiken	8656	null	Exact	Objecttype
23	IMGeo	BegroeidTerreindeel	plus-fysiekVoorkomen	FysiekVoorkomenBegroeidTerreinPlus	Akkerbouw	8987	null	Exact	Domeinwaarde
24	IMGeo	BegroeidTerreindeel	plus-fysiekVoorkomen	FysiekVoorkomenBegroeidTerreinPlus	Bodembedekkers	8593	null	Exact	Domeinwaarde
25	IMGeo	BegroeidTerreindeel	plus-fysiekVoorkomen	FysiekVoorkomenBegroeidTerreinPlus	Bollenteelt	8988	null	Exact	Domeinwaarde
26	IMGeo	BegroeidTerreindeel	plus-fysiekVoorkomen	FysiekVoorkomenBegroeidTerreinPlus	Bosplantsoen	8917	null	Exact	Objecttype
27	IMGeo	BegroeidTerreindeel	plus-fysiekVoorkomen	FysiekVoorkomenBegroeidTerreinPlus	Braakliggend	8989	null	Exact	Domeinwaarde
28	IMGeo	BegroeidTerreindeel	plus-fysiekVoorkomen	FysiekVoorkomenBegroeidTerreinPlus	Gesloten duinvegetatie	8997	null	Exact	Domeinwaarde
29	IMGeo	BegroeidTerreindeel	plus-fysiekVoorkomen	FysiekVoorkomenBegroeidTerreinPlus	Gras- en kruidachtigen	8915	null	Exact	Objecttype
30	IMGeo	BegroeidTerreindeel	plus-fysiekVoorkomen	FysiekVoorkomenBegroeidTerreinPlus	Griend en hakhout	9003	null	Exact	Domeinwaarde
31	IMGeo	BegroeidTerreindeel	plus-fysiekVoorkomen	FysiekVoorkomenBegroeidTerreinPlus	Heesters	13756	null	Close	Domeinwaarde
32	IMGeo	BegroeidTerreindeel	plus-fysiekVoorkomen	FysiekVoorkomenBegroeidTerreinPlus	Hoogstam boomgaarden	8991	null	Exact	Domeinwaarde
33	IMGeo	BegroeidTerreindeel	plus-fysiekVoorkomen	FysiekVoorkomenBegroeidTerreinPlus	Klein fruit	8992	null	Exact	Domeinwaarde
34	IMGeo	BegroeidTerreindeel	plus-fysiekVoorkomen	FysiekVoorkomenBegroeidTerreinPlus	Open duinvegetatie	8998	null	Exact	Domeinwaarde
35	IMGeo	BegroeidTerreindeel	plus-fysiekVoorkomen	FysiekVoorkomenBegroeidTerreinPlus	Planten	8597	null	Exact	Objecttype
36	IMGeo	BegroeidTerreindeel	plus-fysiekVoorkomen	FysiekVoorkomenBegroeidTerreinPlus	Struikrozen	8920	null	Exact	Domeinwaarde
37	IMGeo	BegroeidTerreindeel	plus-fysiekVoorkomen	FysiekVoorkomenBegroeidTerreinPlus	Vollegrondsteelt	8990	null	Exact	Domeinwaarde
38	IMGeo	BegroeidTerreindeel	plus-fysiekVoorkomen	FysiekVoorkomenBegroeidTerreinPlus	Wijngaarden	8994	null	Exact	Domeinwaarde
39	IMGeo	Bord	plus-type	TypeBordPlus	Dynamische snelheidsindicator	9536	null	Exact	Objecttype
40	IMGeo	Bord	plus-type	TypeBordPlus	Informatiebord	116	null	Exact	Klasse
41	IMGeo	Bord	plus-type	TypeBordPlus	Plaatsnaambord	9587	null	Exact	Domeinwaarde
42	IMGeo	Bord	plus-type	TypeBordPlus	Reclamebord	208	null	Exact	Objecttype
43	IMGeo	Bord	plus-type	TypeBordPlus	Scheepvaartbord	221	null	Exact	Objecttype
44	IMGeo	Bord	plus-type	TypeBordPlus	Straatnaambord	23292	null	Exact	Objecttype
45	IMGeo	Bord	plus-type	TypeBordPlus	Verkeersbord	274	null	Exact	Objecttype
46	IMGeo	Bord	plus-type	TypeBordPlus	Verklikker transportleiding	9432	null	Exact	Domeinwaarde
47	IMGeo	Bord	plus-type	TypeBordPlus	Waarschuwingshek	9770	null	Exact	Domeinwaarde
48	IMGeo	FunctioneelGebied	bgt-type	TypeFunctioneelGebied	Kering	14951	null	Exact	Klasse
49	IMGeo	FunctioneelGebied	plus-type	TypeFunctioneelGebiedPlus	Bedrijvigheid	315	null	Close	Objecttype
50	IMGeo	FunctioneelGebied	plus-type	TypeFunctioneelGebiedPlus	Begraafplaats	20	null	Exact	Objecttype
51	IMGeo	FunctioneelGebied	plus-type	TypeFunctioneelGebiedPlus	Benzinestation	24	null	Exact	Objecttype
52	IMGeo	FunctioneelGebied	plus-type	TypeFunctioneelGebiedPlus	Bewoning	324	null	Exact	Objecttype
53	IMGeo	FunctioneelGebied	plus-type	TypeFunctioneelGebiedPlus	Bushalte	14143	null	Exact	Objecttype
54	IMGeo	FunctioneelGebied	plus-type	TypeFunctioneelGebiedPlus	Carpoolplaats	50	null	Exact	Objecttype
55	IMGeo	FunctioneelGebied	plus-type	TypeFunctioneelGebiedPlus	Functioneel beheer	23114	null	Exact	Klasse
