CID	C
1	Aalpijp
2	Aalpijp
3	Aansturingsput
4	Afslagmat
5	Afstandsmarkering
6	Amfibieënfuik
7	Amfibieënfuik
8	Ballenautomaat
9	Ballenkist
10	Ballenwasser
11	Balspiraal
12	Bank
13	Bebakeningsstrook
14	Bedrijfslocatie
15	Beekriool
16	Beekriool
17	Bekabeling
18	Bekkentrap
19	Bekkentrap
20	Beluchtingsrooster
21	Beluchtingsventiel
22	Benedenstrooms eindriool
23	Beregeningspomp
24	Bergbezinkleiding
25	Bergbezinkleiding
26	Bergbezinkleiding
27	Bergbezinkleiding
28	Bergingsleiding
29	Bergingsleiding
30	Bergingsleiding
31	Bergingsleiding
32	Bijenhotel
33	Bijenhotel
34	Bijenwand
35	Bijenwand
36	Bijzonder putdeksel
37	Bijzondere putconstructie
38	Bijzondere putconstructie
39	Bilgepomp
40	Biofilter
41	Biofilter
42	Blinde inlaat
43	Bloemblok
44	Blusriool
45	Blusriool
46	Blusriool
47	Blusriool
48	Bochtstuk
49	Boomspiegel
50	Boostergemaal
51	Boostergemaal
52	Brandgang
53	Broeihoop
54	Broeihoop
55	Buffertoren
56	Buitengrens
57	Busperron
58	Bussluis
59	Calamiteitendoorsteek
60	Centrale verdeelkast
61	Centrale voedingskast
62	Centrifugaalpomp
63	Chipping doel
64	Clubwasser
65	Coating
66	Dassenburcht
67	Dassenburcht
68	Deniltrap
69	Deniltrap
70	Dijknol
71	DIT-riool
72	DIT-riool
73	DIT-riool
74	DIT-riool
75	Doorspoelput
76	Doorspoelput
77	Doorspuitput
78	Doorspuitput
79	Doorsteek
80	Drainaansluitleiding
81	Drainaansluitleiding
82	Drainagegemaal
83	Drainagegemaal
84	Drainputdeksel
85	Drukleiding
86	Drukleiding
87	Drukleiding
88	Drukleiding
89	Drukrioleringspomp
90	DT-riool
91	DT-riool
92	DT-riool
93	DT-riool
94	Dubbelkerende spindelschuif
95	Dubbelkerende spindelschuif
96	Dugout
97	DWA gemaal
98	DWA gemaal
99	DWA perceelaansluitleiding
100	DWA perceelaansluitleiding
101	DWA+HWA gemaal
102	DWA+HWA gemaal
103	Eekhoornbrug
104	Eekhoornbrug
105	Eendenkorf
106	Eendenkorf
107	Enkelkerende spindelschuif
108	Enkelkerende spindelschuif
109	Erfafscheidingsput
110	Explosievrije kolk
111	Externe overstortconstructie
112	Externe overstortput
113	Externe overstortput
114	Faunaduiker
115	Faunaduiker
116	Faunagoot
117	Faunagoot
118	Faunarichel
119	Faunarichel
120	Faunatunnel
121	Faunatunnel
122	Fauna-uittreedplaats
123	Fauna-uittreedplaats
124	Fietsabri
125	Fietsbeugel
126	Fietsenkluis
127	Fietsenrek
128	Fietsenstalling
129	Fietsklem
130	Fietssleuf
131	Fietstrommel
132	First flush gemaal
133	First flush gemaal
134	Foutaansluiting
135	Frequentie-omvormer
136	Ganzennest
137	Ganzennest
138	Geboortebos
139	Gecombineerde straat-trottoirkolk
140	Gemaal droge opstelling
141	Gemaal droge opstelling
142	Gemaal natte opstelling
143	Gemaal natte opstelling
