DID	D	Informatiemodel	Enumeratie
1	> 30 ton	4	ConstructieOrigineleBelastingklasse
2	> 45 ton	4	ConstructieOrigineleBelastingklasse
3	> 60 ton	4	ConstructieOrigineleBelastingklasse
4	1 x per 10 jaar	4	DuikerFrequentieUitspuiten
5	1 x per 2 jaar	4	DuikerFrequentieUitspuiten
6	1 x per 3 jaar	4	DuikerFrequentieUitspuiten
7	1 x per 4 jaar	4	DuikerFrequentieUitspuiten
8	1 x per 5 jaar	4	DuikerFrequentieUitspuiten
9	1 x per 6 jaar	4	DuikerFrequentieUitspuiten
10	1 x per 7 jaar	4	DuikerFrequentieUitspuiten
11	1 x per 8 jaar	4	DuikerFrequentieUitspuiten
12	1 x per 9 jaar	4	DuikerFrequentieUitspuiten
13	1 x per jaar	4	DuikerFrequentieUitspuiten
14	12 x per jaar	4	DuikerFrequentieUitspuiten
15	2 x per jaar	4	DuikerFrequentieUitspuiten
16	3 x per jaar	4	DuikerFrequentieUitspuiten
17	6 x per jaar	4	DuikerFrequentieUitspuiten
18	7 x per jaar	4	DuikerFrequentieUitspuiten
19	8 x per jaar	4	DuikerFrequentieUitspuiten
20	Aan- en afvoer peilgebied	3	WaterbeheergebiedVerschijningsvorm
21	Aansluiting aan achterkant	3	KolkAansluitingszijde
22	Aansluiting aan voorkant	3	KolkAansluitingszijde
23	Aansluiting aan zijkant	3	KolkAansluitingszijde
24	Aanvoer peilgebied	3	WaterbeheergebiedVerschijningsvorm
25	Aanvoergebied	3	WaterbeheergebiedVerschijningsvorm
26	Absoluut rioolstelsel	3	RioolstelselVerschijningsvorm
27	Achthoekig	4	DoorlaatVorm
28	Achthoekig	4	DekselVorm
30	Afgerond	4	DoorlaatVorm
31	Afgerond	4	DekselVorm
32	Afgerond	4	OverstortdrempelVorm
33	Afvoer peilgebied	3	WaterbeheergebiedVerschijningsvorm
34	Afvoergebied	3	WaterbeheergebiedVerschijningsvorm
35	Afwateringsgebied	3	WaterbeheergebiedVerschijningsvorm
36	Afwateringsysteem	3	OppervlaktewatersysteemVerschijningsvorm
37	Appendage-oriëntatie	3	RioleringNodeVerschijningsvorm
38	Autobus	4	DuikerModaliteit
39	Beginpunt leiding	3	RioleringNodeVerschijningsvorm
40	Beginpunt onderdeel	3	RioleringNodeVerschijningsvorm
41	Beluchtingsventiel	3	OntspanningsventielVerschijningsvorm
42	Bemalingsgebied	3	WaterbeheergebiedVerschijningsvorm
43	Beregeningspomp	3	PompVerschijningsvorm
44	Bergbezinkleiding	3	VrijvervalRioolleidingVerschijningsvorm
45	Bergingsleiding	3	VrijvervalRioolleidingVerschijningsvorm
46	Betonvloer op palen	3	FunderingVerschijningsvorm
47	Bijzonder putdeksel	3	DekselVerschijningsvorm
48	Bilgepompinstallatie	3	PompVerschijningsvorm
49	Biofilter	3	ZuiveringsreservoirVerschijningsvorm
50	BK-100-1963 (.. Kg/m2)	4	ConstructieOrigineleBelastingklasse
51	BK-300	4	ConstructieOrigineleBelastingklasse
52	BK-30-1963 (200 kg/m2)	4	ConstructieOrigineleBelastingklasse
53	BK-450	4	ConstructieOrigineleBelastingklasse
54	BK-45-1963 (300 kg/m2)	4	ConstructieOrigineleBelastingklasse
55	BK-600	4	ConstructieOrigineleBelastingklasse
56	BK-60-1963 (400 kg/m2)	4	ConstructieOrigineleBelastingklasse
57	BK-A-1938	4	ConstructieOrigineleBelastingklasse
58	BK-B-1938	4	ConstructieOrigineleBelastingklasse
59	BK-C-1938	4	ConstructieOrigineleBelastingklasse
60	BK-D-1938	4	ConstructieOrigineleBelastingklasse
61	Blinde inlaat	3	InlaatVerschijningsvorm
62	Blusriool	3	VrijvervalRioolleidingVerschijningsvorm
63	Bochtstuk	3	VerbindingsstukVerschijningsvorm
64	Boezemgebied	3	WaterbeheergebiedVerschijningsvorm
65	Bolle bodem	3	PutBodemprofiel
66	Bolle bodem	3	PutBodemprofiel
67	Bolle bodem	3	PutBodemprofiel
68	Boorpaal	3	FunderingVerschijningsvorm
69	Boostergemaal	3	GemaalVerschijningsvorm
70	Bouwblokdrainage	3	DrainagestelselVerschijningsvorm
71	Bouwwerkoriëntatie	3	RioleringNodeVerschijningsvorm
74	Bromfietser	4	DuikerModaliteit
75	Buffertoren	3	WaterslagvoorzieningVerschijningsvorm
76	Buitengrens	3	RioleringLinkVerschijningsvorm
77	Bus	4	DuikerModaliteit
78	Centrifugaalpomp	3	PompVerschijningsvorm
79	Close fit lining	3	LiningVerschijningsvorm
80	Coating	3	BeschermingVerschijningsvorm
81	Compartimentoriëntatie	3	RioleringNodeVerschijningsvorm
82	Cunetdrainage	3	DrainagestelselVerschijningsvorm
83	Datalogger	3	WaterniveaumeterVerschijningsvorm
84	Deelafvoergebied	3	WaterbeheergebiedVerschijningsvorm
85	Deellineroriëntatie	3	RioleringLinkVerschijningsvorm
86	Dekseloriëntatie	3	RioleringNodeVerschijningsvorm
87	Dicht	3	MechanischeAfsluiterAfsluiterstand
88	Dichtingsmassa	3	FysiekObjectVerbindingstype
89	DIT-riool	3	VrijvervalRioolleidingVerschijningsvorm
90	Doorspoelput	3	RioolputVerschijningsvorm
91	Doorspuitput	3	DrainageputVerschijningsvorm
92	Drainage transportstelsel	3	DrainagestelselVerschijningsvorm
