HierarchieElementID	HierarchieElement	Volgorde	Wijzigingsdatum
1	1	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
2	2	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
3	3	9	Mon Feb 17 2025 00:00:00 GMT+0000 (Coordinated Universal Time)
4	4	10	Tue Feb 18 2025 00:00:00 GMT+0000 (Coordinated Universal Time)
5	5	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
6	6	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
7	7	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
8	8	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
9	9	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
10	10	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
11	11	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
12	12	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
13	13	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
14	14	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
15	15	10	Tue Feb 25 2025 00:00:00 GMT+0000 (Coordinated Universal Time)
16	16	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
17	17	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
18	18	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
19	19	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
20	20	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
21	21	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
22	22	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
23	23	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
24	24	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
25	25	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
26	26	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
27	27	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
28	28	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
29	29	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
30	30	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
31	31	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
32	32	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
33	33	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
34	34	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
35	35	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
36	36	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
37	37	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
38	38	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
39	39	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
40	40	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
41	41	11	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
