FilterObjecttypeID	IMBORGUID	Filter	Objecttype	Wijzigingsdatum
962	ada021d8-2b3f-4096-bdbe-ff43d9dfc3bc	14958	14655	null
963	9a390168-2512-4d7d-8df7-0f9b048976c2	79	11435	null
964	224f01fe-27eb-4e47-a7cd-80c43a33dca8	1087	1	null
965	3644e5e2-ba20-4e7e-a648-3359886c2177	16548	5	null
966	c06e5601-704f-41af-a6bd-9129bab587bb	1090	10479	null
967	179e5189-fdfc-4ffb-ab0e-b634605511f2	14992	6	null
968	1e1ce66e-9143-481e-aaed-818ff2b92b3b	1083	7	null
969	2f3b65c8-8352-43c4-a35b-7f9b7ad456b7	23580	11156	null
970	2b2da5a2-fe83-40f9-8fbe-e4d845f7454d	14807	8	null
971	227b099b-370c-47cc-a653-be296d8a5fd4	1095	10205	null
972	0c8397ab-5258-48c3-986f-1cce0f09d89f	14967	15251	null
973	3411e934-7bf0-4693-8051-7d82795b3e32	14807	11450	null
974	8b8dd6c8-8e5a-4fd8-941b-24f2640abcc6	23114	15399	null
975	10e34e9e-4ff5-43c0-ba6c-f8a5bcfdc0fd	1089	11179	null
976	aa8e50be-44b6-4ae6-820a-06b1d5acb761	14969	14565	null
977	358f1e5b-c6ba-4f27-a0f0-15648243933a	14807	10547	null
978	0af895a0-5eea-4c14-8b26-33f09c1c123e	1089	9	null
979	01526817-c5c2-489a-ae67-67fb1fd2fd72	14807	10549	null
980	71ce9298-1d8d-4651-9b9a-0a294536e96e	1089	11171	null
981	f43610af-cb1b-4e4c-a3a2-f3b68a2c4aa1	1080	10	null
983	033a9045-de9c-40b6-9c91-a182dc945a2e	14958	16867	null
984	af88175e-b3dc-4315-a4ce-96b765473510	23579	15518	null
986	fd35bfca-dd50-4ef2-9075-d91f26c88b75	14800	11	null
987	39ddf6a1-ab5f-4ab3-a026-ecc5d5ec2bd2	16548	16854	null
988	30ee79c9-273a-4884-841b-b4a62ff4b2b2	79	14619	null
989	d96b8b80-31ce-4eaf-93dd-1b6b2d6d4345	16548	16547	null
990	ad169fbc-9e39-42ec-9432-90e3f73c8511	1089	12	null
991	860de5f1-511d-4ee3-a355-549b3ccd3b98	1082	13	null
992	b1b3486c-4c26-4082-88a3-2bd0243e9e3b	14450	14	null
993	5744835b-755b-4f7b-bbde-88cb49e7cb2b	16548	15	null
994	cb9b0fbf-ce73-4242-8732-a8be12bbcb5f	1089	16	null
995	e7645c52-6bd5-4cba-96bb-a6342d14ebe1	273	14809	null
996	31152982-9eb8-4ff5-b40f-6ad49237b58c	16756	15388	null
