VakdisciplineObjecttypeID	IMBORGUID	Vakdiscipline	Objecttype	Wijzigingsdatum
1	a9b148c6-33f5-415b-89f9-6cd222d252ff	14391	38	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
2	ff9b460a-c75d-4644-abe4-168596cfd86c	14391	39	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
8	57920298-cba5-4e3f-a856-f8db2de88a75	14391	37	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
9	1e328c8a-6bed-40ab-97b2-a21a60449888	14391	100	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
10	6c81c285-3264-4eea-b32a-6b5e5ea3014f	14392	174	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
11	3fd03085-af53-4533-b35a-9b05be4abff7	14392	274	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
12	3e9b721e-0e25-4000-a2da-08d20476b5e0	14392	187	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
13	682c2125-de0a-4d66-9280-54fa64a201c7	14392	123	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
14	d07e2bbe-22ed-481d-b7a7-c39a3c19a0ac	14392	203	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
15	530203ff-b6a1-4b7e-a342-9f02e38ff43b	14392	332	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
16	d2e6bf75-bd65-4c45-a632-e546d13eaf5f	14392	265	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
19	14400038-8dfb-4233-ade5-96af4f5d046e	14392	131	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
20	6e4eba2d-de61-453b-bf79-e18a0bc9194d	14392	13	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
21	3bf08a6f-abc3-4f3d-8d04-404f37733335	14392	278	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
23	5dde3634-51c0-4d47-b4d2-a63ad29ec056	14392	117	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
24	0fcd3bbf-144e-44df-bc1f-4f91c890adc8	14392	116	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
25	5e92c4f9-308b-4245-a3fb-3d27e9c9342b	14392	208	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
26	3643c99e-9412-420c-bf50-fef3576b520d	14392	221	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
27	6bfb7a9f-1526-4f89-80f2-8664119d4372	14393	274	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
32	f198fe6a-4b61-4890-814d-4b811d1ee70b	14393	145	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
36	d17cb7de-7fb8-4f73-9133-102c4633b079	14393	15	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
37	c776564c-3221-4a79-8871-abaeb9e02f81	14393	271	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
41	578f3307-8d9d-460c-b90e-50acd06499d6	14393	191	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
43	4d8d34d1-6656-4fde-9d87-27815a2c734a	14393	187	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
44	91276777-894a-4e56-b400-698a54f91710	14393	173	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
45	a494d094-1787-4b0d-a87b-055c9db63740	14393	1	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
46	5215812e-dbcc-4e39-a606-e01944c310d8	14393	68	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
47	191ae1f0-f68f-425a-99c3-7b2945a0f730	14393	320	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
48	26c2ce62-18d7-4e33-9d5f-15c26d2282ab	14393	153	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
49	363ae6c9-fec9-44b7-8e5a-8e6a84c4984c	14393	261	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
50	c6dcead7-98d9-4863-9bc4-40e935834927	14393	107	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
51	8ed7c16a-29a7-4d22-baf4-ff7876e668c1	14393	306	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
52	ee327361-bf9f-4281-9542-1a00f8d996fd	14393	138	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
53	6526fb40-2802-4686-bebe-a81aa34f8c70	14393	74	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
54	18ba4f10-d46c-452d-a073-51c48fcddc35	14393	321	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
55	aa9ecf4c-c354-4058-8be4-34356acf8587	14393	266	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
56	4af49035-1ad2-4d86-a061-d04c834bc3e2	14393	183	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
57	651c9ddd-acb7-4d2c-a983-6b0d3f09bec1	14393	182	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
60	37fad4e9-6aa4-4858-8b2e-257d18ad2cba	14393	286	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
63	8aa7368f-590d-4cb3-bbc1-8b59ea6fdaec	14393	149	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
64	04bc7470-a1cf-4526-82bd-1557c52d9f20	14393	169	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
65	01aadfe8-b140-4ff4-af26-4909ebc05698	14393	14	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
66	45c80a24-d8b9-4b63-9f47-a10471bcb822	14393	84	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
67	2cb3fed6-017b-48a1-8d31-6626f8f5cfa7	14393	282	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
69	93f7cdb6-aaa2-457a-9cef-581fcfd6e02d	14393	254	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
70	deb5d0a3-3a8f-4a05-b1a1-5839b6418b1c	14393	155	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
71	9aa3d779-798a-46c7-82e5-e7f38daf8e55	14393	226	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
72	77715c6a-bda7-42dc-9fe7-a0af8e4cfdbb	14393	154	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
73	bfd99758-3083-46d2-ab1d-9aa0777ef43d	14393	139	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
74	96c24c21-8dda-40a5-8022-81f753571d2e	14393	156	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
75	79ecae8e-e706-4476-9416-c16fcf8bef41	14393	121	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
76	4b19ff81-039c-4701-a45f-92b7a337579f	14393	305	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
77	895f3e06-d411-479f-8fa2-172546e30a4f	14393	119	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
78	fd0a45f9-ff09-417f-8e39-289467f4091f	14393	289	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
79	cfa838ab-be2e-466c-9062-34e10d832daf	14393	285	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
80	40b548f0-8b71-4c57-89c1-e3636b36fdac	14393	267	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
81	f914fa7c-f52f-498c-ac4c-ff1283a37fa3	14393	248	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
82	a31a79f0-ee5c-4db8-8461-73e71cd89e77	14393	224	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
83	d21de865-96a6-4d95-82cc-bb083930f192	14393	241	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
84	ceb2c86f-4e6e-4f7a-8fe1-cd669f846df8	14393	73	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
85	47ceb02f-0ee2-4c56-92c9-ccec3a0622b8	14393	202	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
86	ebb5d5ad-c325-49ac-8b3e-861f91ca7de4	14393	197	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
87	a92b885b-a77c-4d3b-a79a-1fdf2fd3ecfa	14393	85	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
88	91eab417-8922-4ce2-a0aa-b6ca0e226159	14393	184	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
89	9442af8d-4afe-49c6-b244-e06d01c807ca	14393	55	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
91	43b4bf03-138f-49a5-9974-cdca3b42544b	14393	35	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
92	94ab844b-bec2-4108-ad43-a0b3185ad8fe	14393	201	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
93	29b266aa-2478-4ecb-81db-5702d9f426c8	14393	42	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
95	6e0e6825-f58d-43ab-a3dc-1b0a1a86f07b	14393	21	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
96	c7fedeee-98af-4be2-8319-3ff77bded152	14393	246	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
97	8242bc13-93ed-4a89-bc18-09987affba81	14393	287	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
