VocabulairID	VocabulairGUID	IMBORGUID	Collectie	Term	KlasseType	Synoniem	Definitie	Toelichting	Wijzigingsdatum	URI
332	19feead7-1df7-4dd7-b3fa-681de0eab7c5	08ccd303-ba44-4258-ac6d-4f201b2bce8c	2	Zweepmast	14796	null	Geheel van één ondersteuningsconstructie die verbonden is met één ligger bedoeld voor het aanbrengen van verkeersaanduidingen, armaturen en verkeerslantaarns.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/08CCD303-BA44-4258-AC6D-4F201B2BCE8C
562	192a94c7-393b-4768-a0b4-5d1533d17fda	16955bcf-bace-4060-a5eb-e83db2fceb5c	3	aanwezigheid afsluitklep	14796	null	Aanduiding voor aan- of afwezigheid van een afsluitklep.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/16955BCF-BACE-4060-A5EB-E83DB2FCEB5C
785	3a3532c1-db6e-4029-85a0-28949b189838	22a2cd5b-5115-4614-90fd-a51134b001e5	3	schouwwijze	14796	null	Aanduiding voor het uitvoeren van de schouw van een waterobject, eenzijdig of tweezijdig schouwen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/22A2CD5B-5115-4614-90FD-A51134B001E5
1028	b401b40e-ef0c-4f37-8c82-db65f29bb3bf	f65dd67b-8c4c-47f6-9ed2-4ab87763bbac	3	installatiedatum	14796	null	Datum waarop het object geïnstalleerd is.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/F65DD67B-8C4C-47F6-9ED2-4AB87763BBAC
8393	81e044bd-76ef-4a77-97d6-e5dd184bc562	b8d907d5-bd65-48fa-a896-35fdb2afe5fa	22	AC 16 bind	14796	null	Bind: bij tussenlaag van asfaltbeton, of tijdelijke deklaag.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/B8D907D5-BD65-48FA-A896-35FDB2AFE5FA
8715	8583a1be-e995-4440-a984-3eb986354c91	bf01a529-d31a-471b-9777-06e65b214d3b	4	OV-route: subroute (stad)	14796	null	De secundaire, op het niveau van individuele steden gelegen, geplande af te leggen weg te gebruiken voor personenvervoer dat openbaar toegankelijk is.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/BF01A529-D31A-471B-9777-06E65B214D3B
8768	1d59feaa-81b7-42ac-9e6e-068c885d8855	87afcc66-cfd6-4ca8-9e26-ec28d0a4b719	4	Boombak (verplaatsbaar)	14796	null	Plantenbak, ingeplant met één of meer bomen.	null	Fri Dec 15 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/87AFCC66-CFD6-4CA8-9E26-EC28D0A4B719
21584	a2849ef3-a810-419e-8cc9-e73c5613d58a	9578a0ac-0933-4f33-96ab-0f5af5578ef9	4	Open ADR	14796	null	Open geautomatiseerde standaard voor vraagrespons	null	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/9578A0AC-0933-4F33-96AB-0F5AF5578EF9
9444	cde39c73-31db-4eff-8646-c5048d2c66b5	f6c61915-089a-40ed-8855-3bb43ebba19a	4	Oplaadpaal voor voertuigen	14796	null	Een laadpaal voor elektrische voertuigen is een fysiek object met één of meer laadpunten.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/F6C61915-089A-40ED-8855-3BB43EBBA19A
9635	6b944177-97db-415f-8fff-62871178fd8b	bce3d424-4f42-4db2-a895-49e90068fca7	4	Buisbeugel	14796	null	Bevestiging op basis van een ronde ring die om een buis geklemd kan worden.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/BCE3D424-4F42-4DB2-A895-49E90068FCA7
