LoggingGUID	VocabulairGUID	IMBORGUID	GitHub-issueID	Omschrijving	Terugkoppeling	Loggingsdatum	Status	Aard aanpassing	Collectie	LoggingType	VervangGUID
00001173-c0ea-48bf-b629-db13e4c1bd9d	N.v.t.	{D07D868F-AF40-4543-9390-179E1DCB3D5C}	1127	Afstemming met Handboek Bomen: boomvoorziening	Beluchtingssysteem aanlegfase vervalt bij BoomBoomvoorziening in imborKern_EnumeratiesDomeinwaarden	Mon Apr 17 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Domeinwaarde vervallen	Domeinwaarde	Minimale wijziging	null
0008ab2c-b809-479b-976f-e5e4035806d9	N.v.t.	{D0258AE7-DB5F-4C2F-870C-D5AD53E8AC9B}	991	IMGeo-IMBOR mapping vocabulaire scheiden van klassen en attributen	Regelinrichting_bor-type verwijderd uit imborKern_K_KlassenAttributen	Mon Jan 23 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Attribuut vervallen bij klasse	Attribuut	Minimale wijziging	null
000bc059-c2c0-4fe8-be00-8eebe0fab3c5	N.v.t.	{9A69CC6E-A6B6-4C5E-B167-0D07616BCBF0}	1188	Gemeente Den Haag: Laadinfrastructuur: toevoegen meterinformatie aan Oplaadpaal	Vervallen bij enumeratietype vanwege herindeling Communicatie-informatie: WiFi	Mon Jun 10 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Domeinwaarde vervallen	Domeinwaarde	Minimale wijziging	null
00133f9f-e188-44ef-8b4c-ce738d054561	N.v.t.	{30A4FD6B-6C0C-4EB3-A9F4-060E8BFC66FD}	1101	Afleidbare attributen zo veel mogelijk consistent uit IMBOR verwijderen	RuimtelijkGebied :: bevat :: ReëelObject is toegevoegd aan imborKern_K_ObjecttypenSemantischeRelaties	Fri May 19 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Semantische relatie toegevoegd	Semantische relatie	Minimale wijziging	null
0016f708-32ff-434f-93cb-d16c992e3769	{A0AF3F64-C772-478E-8A5A-781E272C7093}	{867EA965-BB72-4549-ACFA-3A7F7F659D4D}	N.v.t.	Afstemming met Handboek Bomen juli 2024: wijzigingen op klassen Boom en Groeiplaatsinrichting	Grondwater 0,2 tot 0,4 -m.v. toegevoegd aan imborVoc_Termen	Wed Jul 10 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Term toegevoegd	Domeinwaarde	Minimale wijziging	null
002bd36c-5747-4bd7-af51-5ff5ea848f47	{463EF9D1-446B-4BBC-817A-9B4F017ACB15}	{5204BCE0-D312-45BD-90DA-6C1FD7A0F9FA}	1133	Afstemming met Handboek Bomen: opkroonhoogteklasse actueel en opkroonhoogteklasse beoogd	8/0 m wordt toegevoegd aan imborVoc_Termen	Mon Apr 17 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Term toegevoegd	Domeinwaarde	Minimale wijziging	null
002c2f9f-dcd5-4cd5-bc2c-2fa6df5acbd1	N.v.t.	{6E5C3497-1C3B-475E-BB46-A52AED2B4AB6}	1188	Gemeente Den Haag: Laadinfrastructuur: toevoegen meterinformatie aan Oplaadpaal	type besturing verwijderd bij Wachttijdvoorspeller in imborKern_K_KlassenAttributen	Mon Jun 10 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Attribuut vervallen bij klasse	Attribuut	Minimale wijziging	null
002cbaa7-b6f8-42bf-882f-484a7484bb0c	{6CE261DD-848C-4262-ADDB-C9B9DA22848F}	{82668007-BF9B-45D1-B1F8-7BBD7DD59573}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:SluisBedienaar; is aangepast van: "Het enumeratietype SluisBedienaar is de naam voor de domeinwaardenlijst van de klasse Sluis en het attribuut bedienaar.", naar: "Het enumeratietype voor de domeinwaardenlijst van de klasse Sluis en het a	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Enumeratietype	Minimale wijziging	null
004cb36c-0359-4d41-a7a6-0b0bbe6d802c	N.v.t.	{31715B9B-4A5B-458E-B1CD-A22C78180DD0}	673	Rotterdam | review CROW IMBOR | 2	BandAfmeting :: 160x200x180 is toegevoegd aan BandAfmeting in imborKern_EnumeratiesDomeinwaarden	Thu Jan 26 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Domeinwaarde toegevoegd	Domeinwaarde	Minimale wijziging	null
007bb7e5-6fcc-4a54-b0b3-0e7ff000a698	{A7CE2408-8774-423E-9220-77D5154415A7}	{325C8BB1-E472-40FF-B474-FB789CE3CA7C}	Unafact40	Uitbreiding IMBOR Laadinfrastructuur: Laadpunt: type laadinfrastructuur	LaadpuntTypeLaadinfrastructuur toegevoegd aan imborVoc_Termen.	Mon Nov 28 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Term toegevoegd	Enumeratietype	Minimale wijziging	null
0081ec9f-5859-4b19-882d-c993ecf8eb4f	N.v.t.	{46901A38-567D-4C87-8A6B-B9DADF90EC2D}	1188	Gemeente Den Haag: Laadinfrastructuur: toevoegen meterinformatie aan Oplaadpaal	Vervallen bij enumeratietype vanwege herindeling Communicatie-informatie: 3G	Mon Jun 10 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Domeinwaarde vervallen	Domeinwaarde	Minimale wijziging	null
008379ed-7dfe-4436-b462-288f35036e2f	N.v.t.	{82E9BFED-D7F5-4DF2-AB68-87FBC71C33D5}	1116	Afstemming met Handboek Bomen: beschermingsstatus, beschermingsstatus gedetailleerd en meerstammig	BoomBeschermingsstatusGedetailleerd :: Natuurwetenschappelijk waardevol komt te vervallen in imborKern_EnumeratiesDomeinwaarden	Wed Apr 12 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Domeinwaarde vervallen	Domeinwaarde	Minimale wijziging	null
0097601b-ec15-4c70-80e4-0501c6586f6d	{A72DC962-FFCF-475D-9A22-2E0A77D2B47A}	{40C0D299-ACCA-42D9-8A08-E84DC78645B1}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:DetectorType; is aangepast van: "Het enumeratietype DetectorType is de naam voor de domeinwaardenlijst van de klasse Detector en het attribuut type.", naar: "Het enumeratietype voor de domeinwaardenlijst van de klasse Detector en het attr	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Enumeratietype	Minimale wijziging	null
0097aefc-6990-4a26-afcd-1383eb3d99b1	{D7CCBFD0-1637-479B-95A0-DF16822C57CF}	{FD66CFF8-7B38-4016-95F8-3B25AF770C40}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:BouwwerkVorm; is aangepast van: "Het enumeratietype BouwwerkVorm is de naam voor de domeinwaardenlijst van de klasse Bouwwerk en het attribuut vorm.", naar: "Het enumeratietype voor de domeinwaardenlijst van de klasse Bouwwerk en het attr	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Enumeratietype	Minimale wijziging	null
00a47b9e-4a32-4878-a533-98ce4016826d	N.v.t.	{D83D021E-98B1-47C1-A0FF-D4C1C895633F}	1188	Gemeente Den Haag: Laadinfrastructuur: toevoegen meterinformatie aan Oplaadpaal	Vervallen bij enumeratietype vanwege herindeling Communicatie-informatie: Niet van toepassing	Mon Jun 10 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Domeinwaarde vervallen	Domeinwaarde	Minimale wijziging	null
