refDomeinwaardeID	refDomeinwaardeGUID	refInformatiemodel	refAttribuut	refDomeinwaarde	refBovenliggendeWaarde	URI	Definitie	Toelichting	Wijzigingsdatum
1	648ad88d-abe2-45cd-afd1-4ae90340ede3	5	29	(haven)kraan	Spoor	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
2	07f49938-ef9f-4111-9e82-13d737ba80ef	5	22	aanleginrichting	Kunstwerkdeel	null	De aanleginrichting is een brugdek dat aan één zijde scharnierend bevestigd is aan de wal en aan de andere zijde omhoog en omlaag kan bewegen. Bij wisselende waterstanden kunnen de veerboten zo altijd aanmeren en kunnen de mensen gemakkelijk van de wal op	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
3	486f1f5d-81fc-469d-918b-813ba2ee1a16	5	22	aansluiting	FunctioneelGebied	null	Ongelijkvloers kruispunt van een nationale stroomweg en een niet-nationale stroomweg (bijvoorbeeld Haarlemmermeeraansluiting of een halfklaverbladaansluiting) of tussen twee regionale stroomwegen onderling, of tussen een regionale en een gebiedsontsluitin	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
4	14c9c1e7-d5f6-44e0-8d20-b330163cc88f	5	22	aansluitleiding	Leiding	null	Leiding tussen een gebouw of een kolk en een knooppunt of leiding voor de aanvoer van afvalwater.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
5	98846c6a-d043-4361-aa47-278dac4d83c0	5	22	aansluitput	Put	null	Type put met de functie aansluitleidingen aansluiten.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
6	29acaa39-60d5-4f2e-9114-1fc176a3ce89	5	22	aansluitvoorziening	Installatie	null	Een kast(je) welke als zelfstandig objecttype in een ander objecttype of aan een drager bevestigd kan worden voor de aansluiting van de grondkabel om objecten in de openbare ruimte van stroom te voorzien.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
7	37a70d62-282e-4a41-a540-a582b8598ce0	5	22	aardolieleiding	Leiding	null	Leiding voor het transport van aardolie.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
8	9df4fc97-d788-48ed-a282-09f93390280d	5	31	abri	Straatmeubilair	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
9	b88fba7a-4769-4ba5-ae2e-fb787321df94	5	22	achtergrondschild	Straatmeubilair	null	Achtergrondschilden worden aangebracht om of achter de verkeerslantaarns van driekleurige verkeerslichten.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
10	10f724a7-30e4-42df-badb-b42ec7a6df0f	5	20	achterpad	Wegdeel	null	Pad dat achteraan ligt, vaak aan de achterzijde van woningen waartoe het toegang verleent.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
11	50e67db9-a90a-485f-a3a0-da942f880f8b	5	31	afsluitpaal	Paal	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
12	93705263-95ce-4d7c-a189-2e3ba731bcba	5	31	afval apart plaats	Bak	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
13	815c5c57-4a72-4e72-af2a-89f719bf2789	5	31	afvalbak	Bak	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
14	ec16f18d-8384-44c4-a4e0-c2f78abde34c	5	22	antivandalismevoorziening	Straatmeubilair	null	Een constructie dat het opzettelijk en/of moedwillig vernielen van fysieke objecten tegen gaat of (ver)hindert.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
15	b44164e4-9ea2-4656-b36e-ad33b06ec05a	5	22	APV-bord	Bord	null	Bord welke gebruikt wordt als onderdeel van de algemene plaatselijke verordening die een gemeente kan opleggen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
