MappingID	MappingGUID	Objecttype	Attribuut1	Domeinwaarde1	Attribuut2	Domeinwaarde2	Attribuut3	Domeinwaarde3	RelatieInformatie	refInformatiemodel	refObjecttype	refAttribuut1	refDomeinwaarde1	refAttribuut2	refDomeinwaarde2	refAttribuut3	refDomeinwaarde3	Toelichting	Wijzigingsdatum
1	b9ceba0d-f750-4a97-91da-4509db5e4867	1	null	null	null	null	null	null	14786	5	9	22	2	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
2	d4fab542-48b5-4e95-91fb-bbfe658227b9	2	null	null	null	null	null	null	14786	5	5	22	3	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
3	7bb0ec0d-3155-4a0e-bda5-8127c3ce5d95	3	null	null	null	null	null	null	14786	5	976	22	4	null	null	null	null	null	Thu Jan 18 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
4	839ac04e-72cf-4235-a9a7-105b322d7ec7	4	null	null	null	null	null	null	14786	5	23	22	5	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
5	a03a8b18-289f-43dc-a5d3-b58b31e67227	5	null	null	null	null	null	null	14786	5	7	22	6	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
6	7df90000-707a-403a-9b7c-cca8356690a7	6	null	null	null	null	null	null	14786	5	976	22	7	null	null	null	null	null	Thu Jan 18 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
7	d05b56a0-4150-4025-8e34-c3008334433d	7	null	null	null	null	null	null	14786	5	28	31	8	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
8	15677562-f175-47a6-ac29-5641cf65011f	8	null	null	null	null	null	null	14786	5	28	22	9	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
9	38b05cc1-2287-48d0-9c15-ff9922c40a97	9	null	null	null	null	null	null	14786	5	21	31	11	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
10	b600b636-83ba-45cd-938f-640816528702	10	null	null	null	null	null	null	14786	5	2	31	13	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
11	4565625f-7e13-4a53-bf85-e3d07b1d9293	11	null	null	null	null	null	null	14786	5	5	31	265	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
12	3c26a16d-68f8-4b61-b179-19990e0daf6f	12	null	null	null	null	null	null	14786	5	28	22	14	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
13	7fed2ad3-9813-4e4d-99ce-434531f39906	13	null	null	null	null	null	null	14786	5	4	22	15	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
14	0c5b34c8-6aa2-4044-8dc7-949875d075b4	14	null	null	null	null	null	null	14786	5	17	1	16	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
15	6c0f0675-f31b-4ec5-a6e6-371545f3cefe	15	null	null	null	null	null	null	14786	5	28	22	17	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
16	baf5f21d-7845-47dd-b717-5fa88d5b58b9	15	375	10226	null	null	null	null	14786	5	28	31	272	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
17	b6306643-6d84-47a0-886f-087cb0992f41	16	null	null	null	null	null	null	14786	5	2	22	23	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
18	0886a051-7c2b-4a88-a5cb-779c662ab8d4	17	null	null	null	null	null	null	14786	5	34	31	26	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
19	6e2d9246-2bd9-4fd8-9e15-c2b4516fe0d0	18	null	null	null	null	null	null	14786	5	34	22	27	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
20	deb89e11-00b6-49c2-afcd-2053c7e59b2e	19	null	null	null	null	null	null	14786	5	23	22	32	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
21	4c1fe2e3-7d0e-4b9a-a2aa-3040c7a17baf	20	null	null	null	null	null	null	14786	5	5	31	33	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
22	ea0c6f45-543a-4b64-9590-ed25fbf7f383	21	null	null	null	null	null	null	14786	5	5	31	156	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
23	5e3c2f1e-f758-4577-ba0c-d021de3bfd08	9535	null	null	null	null	null	null	14786	5	5	31	157	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
24	f3639e7b-0db9-4d81-a5c9-7710eb235690	22	null	null	null	null	null	null	14786	5	5	22	34	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
25	9225a076-f84c-4312-a3ad-2390d22229cf	23	null	null	null	null	null	null	14786	5	23	31	35	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
26	c18b6dd1-3e4e-4f27-a528-79f98620b896	24	null	null	null	null	null	null	14786	5	5	31	36	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
27	1b293ab2-aa6b-4c8c-af8b-2c21ebeee473	25	null	null	null	null	null	null	14786	5	7	22	37	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
28	a7b6e3e3-53f8-478a-9e63-6389a13f233b	26	null	null	null	null	null	null	14786	5	976	22	39	null	null	null	null	null	Thu Jan 18 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
