LoggingGUID	VocabulairGUID	IMBORGUID	GitHub-issueID	Omschrijving	Terugkoppeling	Loggingsdatum	Status	Aard aanpassing	Collectie
00001173-c0ea-48bf-b629-db13e4c1bd9d	N.v.t.	{D07D868F-AF40-4543-9390-179E1DCB3D5C}	1127	Afstemming met Handboek Bomen: boomvoorziening	Beluchtingssysteem aanlegfase vervalt bij BoomBoomvoorziening in imborKern_EnumeratiesDomeinwaarden	Mon Apr 17 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Domeinwaarde vervallen	Domeinwaarde
0008ab2c-b809-479b-976f-e5e4035806d9	N.v.t.	{D0258AE7-DB5F-4C2F-870C-D5AD53E8AC9B}	991	IMGeo-IMBOR mapping vocabulaire scheiden van klassen en attributen	Regelinrichting_bor-type verwijderd uit imborKern_K_KlassenAttributen	Mon Jan 23 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Attribuut vervallen bij klasse	Attribuut
00133f9f-e188-44ef-8b4c-ce738d054561	N.v.t.	{30A4FD6B-6C0C-4EB3-A9F4-060E8BFC66FD}	1101	
Afleidbare attributen zo veel mogelijk consistent uit IMBOR verwijderen	RuimtelijkGebied :: bevat :: ReëelObject is toegevoegd aan imborKern_K_ObjecttypenSemantischeRelaties	Fri May 19 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Semantische relatie toegevoegd	Semantische relatie
002bd36c-5747-4bd7-af51-5ff5ea848f47	{463EF9D1-446B-4BBC-817A-9B4F017ACB15}	{5204BCE0-D312-45BD-90DA-6C1FD7A0F9FA}	1133	Afstemming met Handboek Bomen: opkroonhoogteklasse actueel en opkroonhoogteklasse beoogd	8/0 m wordt toegevoegd aan imborVoc_Termen	Mon Apr 17 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Term toegevoegd	Domeinwaarde
002cbaa7-b6f8-42bf-882f-484a7484bb0c	{6CE261DD-848C-4262-ADDB-C9B9DA22848F}	{82668007-BF9B-45D1-B1F8-7BBD7DD59573}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:SluisBedienaar; is aangepast van: "Het enumeratietype SluisBedienaar is de naam voor de domeinwaardenlijst van de klasse Sluis en het attribuut bedienaar.", naar: "Het enumeratietype voor de domeinwaardenlijst van de klasse Sluis en het a	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Enumeratietype
004cb36c-0359-4d41-a7a6-0b0bbe6d802c	N.v.t.	{31715B9B-4A5B-458E-B1CD-A22C78180DD0}	673	Rotterdam | review CROW IMBOR | 2	BandAfmeting :: 160x200x180 is toegevoegd aan BandAfmeting in imborKern_EnumeratiesDomeinwaarden	Thu Jan 26 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Domeinwaarde toegevoegd	Domeinwaarde
007bb7e5-6fcc-4a54-b0b3-0e7ff000a698	{A7CE2408-8774-423E-9220-77D5154415A7}	{325C8BB1-E472-40FF-B474-FB789CE3CA7C}	Unafact40	Uitbreiding IMBOR Laadinfrastructuur: Laadpunt: type laadinfrastructuur	LaadpuntTypeLaadinfrastructuur toegevoegd aan imborVoc_Termen.	Mon Nov 28 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Term toegevoegd	Enumeratietype
008379ed-7dfe-4436-b462-288f35036e2f	N.v.t.	{82E9BFED-D7F5-4DF2-AB68-87FBC71C33D5}	1116	Afstemming met Handboek Bomen: beschermingsstatus, beschermingsstatus gedetailleerd en meerstammig	BoomBeschermingsstatusGedetailleerd :: Natuurwetenschappelijk waardevol komt te vervallen in imborKern_EnumeratiesDomeinwaarden	Wed Apr 12 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Domeinwaarde vervallen	Domeinwaarde
0097601b-ec15-4c70-80e4-0501c6586f6d	{A72DC962-FFCF-475D-9A22-2E0A77D2B47A}	{40C0D299-ACCA-42D9-8A08-E84DC78645B1}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:DetectorType; is aangepast van: "Het enumeratietype DetectorType is de naam voor de domeinwaardenlijst van de klasse Detector en het attribuut type.", naar: "Het enumeratietype voor de domeinwaardenlijst van de klasse Detector en het attr	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Enumeratietype
