BID	B
1	Aanleiden tot spelen
2	Aanpassen frequentie van elektrische energie
3	Aansluitleidingen aansluiten
4	Aansluitmogelijkheid bieden
5	Aansturen
6	Aansturen van een pomp door middel van een microprocessor
7	Aanvoer afstromend hemelwater vanaf een kolk
8	Aanvoer van afvalwater
9	Aanvoer van afvalwater vanaf een perceel
10	Aanvoer van grondwater
11	Aanvoer van hemelwater
12	Aanvoer van hemelwater en vuilwater
13	Aanvoer van vuilwater
14	Aanvoeren van water
15	Aanvullende bemaling
16	Aanwijzen afsluiterstand
17	Afdekken
18	Afdekken ondergrondse voorziening
19	Afdekken put
20	Afdekken van peilbuis
21	Afremmen van de stroomsnelheid van het afvalwater
22	Afscheiden olie/benzine
23	Afscheiden slib
24	Afscheiden van veld of terrein
25	Afscheiden vaste deeltjes (vuil en slib)
26	Afscheiden vet
27	Afschermen
28	Afsluiten
29	Afsluiten in één stroomrichting
30	Afsluiten in twee stroomrichtingen
31	Afsluiten van leidingen
32	Afstroming herstellen
33	Afvoer naar kolkaansluitleiding
34	Afvoer van afvalwater naar een RWZI
35	Afvoer van gassen uit de riolering
36	Afvoer van hemelwater
37	Afvoeren hemelwater naar de ondergrond
38	Afvoeren van water
39	Afvoeren van water door infiltratie
40	Amfibieën en zoogdieren redden
41	Be- of ontluchten
42	Bedienen afsluiter
43	Bedienen van meerdere pompunits
44	Begrazen
45	Beheren van parkeerplaatsen
46	Beluchten leiding
47	Beluchten mechanische leiding
48	Beluchten of ventileren
49	Beluchten vrijverval leiding
50	Bemalen van hoogwater
51	Beperken debiet
52	Beperken van erosie
53	Beperken van geluidshinder
54	Bergen van water
55	Beschaduwen
56	Beschermen tegen aanrijdingen
57	Beschermen tegen vallen
58	Beveiligen
59	Bewonen
60	Bezinken stoffen
61	Bij calamiteit afvalwater afvoeren
62	Bluswater leveren
63	Bovenstrooms waterpeil regelen
64	Constructie beschermen
65	Door bemaling geregelde afvoer
66	Door stuwing geregelde afvoer
67	Doorspoelen rioolstelsel
68	Doorvoeren leidingen en/of kabels
69	Dragen van licht verkeer
70	Dragen van zwaar verkeer
71	Drainage en transport van hemel- en grondwater
72	Drijvend materiaal opvangen
73	Dynamisch remmen van verkeerssnelheid
74	Faciliteren van culturele activiteiten
75	Faciliteren van klimmen
76	Faciliteren van onderwijs
77	Faciliteren van recreatie
78	Faciliteren van religieuze activiteiten
79	Fixeren putdeksel
80	Gebruik door beroepsvaart
81	Gebruik door pleziervaart
82	Geen functie
83	Geleiden van de afvoer van het afvalwater
84	Geleiden van elektronen
85	Geleiden van fauna
86	Geleiden van treinen
87	Graven herbergen
