CID	C
1	Gazon intensief
2	Gazon extensief
3	TBW505
4	TBW504
5	TBW503
6	TBW502
7	TBW501
8	TBW500r
9	TBW500l
10	TBW500
11	TBW423
12	TBW422
13	TBW421
14	TBW420b
15	TBW420
16	TBW417l
17	TBW416l
18	TBW415r
19	TBW415l
20	TBW415b
21	TBW414r
22	TBW414l
23	TBW414b
24	TBW413r
25	TBW413l
26	TBW413b
27	TBW412r
28	TBW412l
29	TBW412b
30	TBW410rroute
31	TBW410route
32	TBW410rhroutebroute
33	TBW410rhroute
34	TBW410lroute
35	TBW410lhroute
36	TBW410broute
37	TBW101rSymbool
38	TBW101roSymbool
39	TBW101rhSymbool
40	TBW101rbSymbool
41	TBW101oSymbool
42	TBW101lSymbool
43	TBW101lrSymbool
44	TBW101loSymbool
45	TBW101lhSymbool
46	TBW101lbSymbool
47	TBW101bSymbool
48	TB10rSymboolWaarde
49	TB10lSymboolWaarde
50	TB10bSymboolWaarde
51	TB10
52	TB06
53	TB05
54	TB04
55	TB03
56	TB02
57	K08-2l
58	K08-2b
59	K08
60	K07-2r
61	K07
62	D105
63	D104
64	D103
65	D102
66	D101
67	BW202rw
68	BW202rh
69	BW202rb
70	BW202lw
71	BW202lh
72	BW202lb
73	BW202b
74	BW202
75	BW201rw
76	BW201rh
77	BW201rb
78	BW201r
79	BW201lw
80	BW201lh
81	BW201lb
82	BW201l
83	BW201b
84	BW201
85	BW200rb
86	BW200lb
87	BW200b
88	BW13L
89	BW13K
90	BW13J
91	BW13I
92	BW13H
93	BW13G
94	BW13F
95	BW13E
96	BW13D
97	BW13C
98	BW13B
99	BW13A
100	BW08rb
101	BW08lb
102	BW07rb
103	BW07lb
104	BW07b
105	BW03ro
106	BW03rh
107	BW03rb
108	BW03r
109	BW03lo
110	BW03lh
111	BW03lb
112	BW03l
113	BW03b
114	BW02ro
115	BW02rh
116	BW02rb
117	BW02r
118	BW02lo
119	BW02lh
120	BW02lb
121	BW02l
122	BW02b
123	BW01ro
124	BW01rh
125	BW01rb
126	BW01r
127	BW01lo
128	BW01lh
129	BW01lb
130	BW01l
131	BW01b
132	AB10rSymboolWaarde
133	AB10lSymboolWaarde
134	AB10bSymboolWaarde
135	AB10
136	BB01rtb
137	OB615t
138	OB605t
139	OB604t
140	OB603t
141	OB312
142	E08r
143	VR06bB06
144	A0150fstb
145	A0130fstb
146	C22a9
147	C22a8
148	C22a7
149	C22a6
150	C22a5
151	C22a4
152	C22a3
153	C22a2
154	C22a1
155	BGS-pad
156	Achterhoeks Padvast
157	Gralux
158	Dolomiet
159	Graulivijn
160	Graustabiel
161	Regionale stroomweg: type I - 2x1
162	Regionale stroomweg: type I - 1x2
163	Gebiedsontsluitingsweg: type II
164	Gebiedsontsluitingsweg: type I
165	Gebiedsontsluitingsweg: 70 km/h
166	Gebiedsontsluitingsweg: 50 km/h
167	Erftoegangsweg: type 2
168	Erftoegangsweg: type 1
169	Erftoegangsweg: fietsstraat
170	Erftoegangsweg: erf
171	Erftoegangsweg: 30 km/h
172	V3
173	V2
174	V1
175	SW
176	SS
177	SO
178	SG
179	RV
180	RRz
181	RO
182	RHw
183	RHg
184	RH
185	RF
186	RBr
187	RBn
188	RBk
189	RAk
190	R-
191	NOB
192	G2
193	G1
194	DOS
195	DOR
196	DOB
197	BW
198	BS
199	BQ
200	BP
201	BO
202	BNL
203	BLV5
204	BLV4
205	BLV3
206	BLV2
207	BLV1
208	BLD5
209	BLD4
210	BLD3
211	BLD2
212	BLD1
213	BG
214	BE
215	BD
216	BB
217	BA
218	Horizontale bodemcollector
