Parent;Child
Camera;360-graden camera
Apparaat;5G-antenne
Vispassage;Aalpijp
Waterstaatkundig kunstwerk;Aanleginrichting
Functie;Aanleiden tot spelen
Meldpaal;Aanmeldzuil
Functie;Aanpassen frequentie van elektrische energie
InformatieObject;Aanschaf-informatie
Reëel object;Aansluiting
Holle leiding;Aansluitleiding
Functie;Aansluitleidingen aansluiten
Functie;Aansluitmogelijkheid bieden
Knooppunt;Aansluitpunt
Put;Aansluitput
Apparaat;Aansluitvoorziening
Functie;Aansturen
Functie;Aansturen van een pomp door middel van een microprocessor
Beregeningsput;Aansturingsput
Functie;Aanvoer afstromend hemelwater vanaf een kolk
Functie;Aanvoer van afvalwater
Functie;Aanvoer van afvalwater vanaf een perceel
Functie;Aanvoer van grondwater
Functie;Aanvoer van hemelwater
Functie;Aanvoer van hemelwater en vuilwater
Functie;Aanvoer van vuilwater
Functie;Aanvoeren van water
Waterbeheergebied;Aanvoergebied
Functie;Aanvullende bemaling
Functie;Aanwijzen afsluiterstand
Constructieonderdeel;Aardelektrode
Kunstwerk;Aardenbaan
Kabel;Aardingskabel
Installatie;Aardingsvoorziening
Holle leiding;Aardolieleiding
Constructieonderdeel;Aardrail
Bouwwerk;Abri
Gemengd rioolstelsel;Absoluut rioolstelsel
Asfalt;AC * base
Asfalt;AC * bind
Asfalt;AC * surf
Asfalt;AC 11 bind
Asfalt;AC 11 surf
Asfalt;AC 16 base
Asfalt;AC 16 bind
Asfalt;AC 16 surf
Asfalt;AC 22 base
Asfalt;AC 22 bind
Asfalt;AC 32 base
Asfalt;AC 8 surf
Armatuur;Accentverlichting
Constructieonderdeel;Achtergrondschild
Weginrichtingsobject;Actieve wegmarkering
FysiekObject;Actor
InformatieObject;Adres-informatie
Veiligheidsvoorziening;AED
Gebouwcomponent;Afdak
Functie;Afdekken
Functie;Afdekken ondergrondse voorziening
Functie;Afdekken put
Functie;Afdekken van peilbuis
Constructieonderdeel;Afdekking
Afdekking;Afdekplaat
Stuw;Aflaatstuw
Functie;Afremmen van de stroomsnelheid van het afvalwater
Functie;Afscheiden olie/benzine
Functie;Afscheiden slib
Functie;Afscheiden van veld of terrein
Functie;Afscheiden vaste deeltjes (vuil en slib)
Functie;Afscheiden vet
Beheerzone;Afscheiding
Functie;Afschermen
Golfbaanvoorziening;Afslagmat
Functie;Afsluiten
Functie;Afsluiten in één stroomrichting
Functie;Afsluiten in twee stroomrichtingen
Functie;Afsluiten van leidingen
Constructieonderdeel;Afsluiter
Constructieonderdeel;Afsluiteraandrijving
Put;Afsluiterput
Straatmeubilair;Afsluitpaal
